parcel_id,company_id,shipment_id,service_sku,parcels,charge_idr
angkutprima_item_00001,angkutprima,angkutprima_ord_00001,angkutprima_prod_0009,2,5276496
angkutprima_item_00002,angkutprima,angkutprima_ord_00001,angkutprima_prod_0010,4,2364264
angkutprima_item_00003,angkutprima,angkutprima_ord_00001,angkutprima_prod_0029,3,11620371
angkutprima_item_00004,angkutprima,angkutprima_ord_00002,angkutprima_prod_0002,3,12667281
angkutprima_item_00005,angkutprima,angkutprima_ord_00002,angkutprima_prod_0011,2,1026004
angkutprima_item_00006,angkutprima,angkutprima_ord_00002,angkutprima_prod_0019,4,12636832
angkutprima_item_00007,angkutprima,angkutprima_ord_00003,angkutprima_prod_0019,3,9477624
angkutprima_item_00008,angkutprima,angkutprima_ord_00003,angkutprima_prod_0004,2,4874300
angkutprima_item_00009,angkutprima,angkutprima_ord_00004,angkutprima_prod_0021,3,1782548
angkutprima_item_00010,angkutprima,angkutprima_ord_00004,angkutprima_prod_0007,1,562456
angkutprima_item_00011,angkutprima,angkutprima_ord_00005,angkutprima_prod_0008,3,5133660
angkutprima_item_00012,angkutprima,angkutprima_ord_00005,angkutprima_prod_0021,2,7922436
angkutprima_item_00013,angkutprima,angkutprima_ord_00005,angkutprima_prod_0021,4,15844872
angkutprima_item_00014,angkutprima,angkutprima_ord_00006,angkutprima_prod_0004,1,2437150
angkutprima_item_00015,angkutprima,angkutprima_ord_00006,angkutprima_prod_0019,4,12636832
angkutprima_item_00016,angkutprima,angkutprima_ord_00006,angkutprima_prod_0022,2,596146
angkutprima_item_00017,angkutprima,angkutprima_ord_00007,angkutprima_prod_0018,3,12096348
angkutprima_item_00018,angkutprima,angkutprima_ord_00007,angkutprima_prod_0027,3,12155442
angkutprima_item_00019,angkutprima,angkutprima_ord_00008,angkutprima_prod_0013,2,978862
angkutprima_item_00020,angkutprima,angkutprima_ord_00009,angkutprima_prod_0028,1,240678
angkutprima_item_00021,angkutprima,angkutprima_ord_00009,angkutprima_prod_0021,1,594183
angkutprima_item_00022,angkutprima,angkutprima_ord_00009,angkutprima_prod_0014,2,51532
angkutprima_item_00023,angkutprima,angkutprima_ord_00010,angkutprima_prod_0026,1,3636666
angkutprima_item_00024,angkutprima,angkutprima_ord_00010,angkutprima_prod_0023,2,5190024
angkutprima_item_00025,angkutprima,angkutprima_ord_00010,angkutprima_prod_0001,4,7339772
angkutprima_item_00026,angkutprima,angkutprima_ord_00011,angkutprima_prod_0021,3,11883654
angkutprima_item_00027,angkutprima,angkutprima_ord_00011,angkutprima_prod_0002,3,12667281
angkutprima_item_00028,angkutprima,angkutprima_ord_00011,angkutprima_prod_0017,2,4143858
angkutprima_item_00029,angkutprima,angkutprima_ord_00012,angkutprima_prod_0019,2,6318416
angkutprima_item_00030,angkutprima,angkutprima_ord_00013,angkutprima_prod_0017,1,2071929
angkutprima_item_00031,angkutprima,angkutprima_ord_00013,angkutprima_prod_0002,4,16889708
angkutprima_item_00032,angkutprima,angkutprima_ord_00014,angkutprima_prod_0015,4,607968
angkutprima_item_00033,angkutprima,angkutprima_ord_00014,angkutprima_prod_0027,2,8103628
