shipment_id,company_id,shipper_id,ship_date,shipment_status,revenue_idr
angkutprima_ord_00015,angkutprima,angkutprima_cust_0223,2025-09-01,completed,24406330
angkutprima_ord_00016,angkutprima,angkutprima_cust_0040,2025-09-01,completed,10952282
angkutprima_ord_00023,angkutprima,angkutprima_cust_0298,2025-09-01,completed,12096348
angkutprima_ord_00036,angkutprima,angkutprima_cust_0040,2025-09-01,completed,1604518
angkutprima_ord_00073,angkutprima,angkutprima_cust_0072,2025-09-01,completed,7785036
angkutprima_ord_00075,angkutprima,angkutprima_cust_0084,2025-09-01,completed,8206846
angkutprima_ord_00089,angkutprima,angkutprima_cust_0034,2025-09-01,completed,7518380
angkutprima_ord_00094,angkutprima,angkutprima_cust_0142,2025-09-01,completed,4821226
angkutprima_ord_00143,angkutprima,angkutprima_cust_0089,2025-09-01,completed,3916431
angkutprima_ord_00166,angkutprima,angkutprima_cust_0202,2025-09-01,completed,2595012
angkutprima_ord_00174,angkutprima,angkutprima_cust_0195,2025-09-01,completed,12611418
angkutprima_ord_00208,angkutprima,angkutprima_cust_0213,2025-09-01,cancelled,1634504
angkutprima_ord_00233,angkutprima,angkutprima_cust_0024,2025-09-01,cancelled,473881
angkutprima_ord_00240,angkutprima,angkutprima_cust_0017,2025-09-01,completed,9629616
angkutprima_ord_00045,angkutprima,angkutprima_cust_0005,2025-09-02,cancelled,77297
angkutprima_ord_00063,angkutprima,angkutprima_cust_0104,2025-09-02,completed,4986710
angkutprima_ord_00081,angkutprima,angkutprima_cust_0047,2025-09-02,completed,1801137
angkutprima_ord_00106,angkutprima,angkutprima_cust_0165,2025-09-02,cancelled,2466047
angkutprima_ord_00154,angkutprima,angkutprima_cust_0210,2025-09-02,completed,11883654
angkutprima_ord_00164,angkutprima,angkutprima_cust_0070,2025-09-02,completed,22316058
angkutprima_ord_00199,angkutprima,angkutprima_cust_0146,2025-09-02,completed,171772
angkutprima_ord_00047,angkutprima,angkutprima_cust_0200,2025-09-03,completed,18114546
angkutprima_ord_00050,angkutprima,angkutprima_cust_0102,2025-09-03,completed,2071929
angkutprima_ord_00069,angkutprima,angkutprima_cust_0230,2025-09-03,cancelled,1130204
angkutprima_ord_00078,angkutprima,angkutprima_cust_0052,2025-09-03,completed,5019252
angkutprima_ord_00120,angkutprima,angkutprima_cust_0169,2025-09-03,completed,10940892
angkutprima_ord_00134,angkutprima,angkutprima_cust_0055,2025-09-03,completed,3961218
angkutprima_ord_00125,angkutprima,angkutprima_cust_0031,2025-09-04,completed,3467400
angkutprima_ord_00136,angkutprima,angkutprima_cust_0086,2025-09-04,cancelled,1701358
angkutprima_ord_00157,angkutprima,angkutprima_cust_0089,2025-09-04,completed,7785036
angkutprima_ord_00168,angkutprima,angkutprima_cust_0133,2025-09-04,completed,5477204
angkutprima_ord_00169,angkutprima,angkutprima_cust_0111,2025-09-04,completed,7362637
