shipper_id,company_id,shipper_name,shipper_segment,origin_hub,contract_start
angkutprima_cust_0001,angkutprima,Toko Rasa Nusantara 1,UMKM,Sumatera,2024-08-01
angkutprima_cust_0002,angkutprima,CV Rasa Nusantara 2,Menengah,Jawa,2024-10-27
angkutprima_cust_0003,angkutprima,Toko Sinar Abadi 3,UMKM,Jabodetabek,2024-11-18
angkutprima_cust_0004,angkutprima,UD Tekno Rimba 4,Korporasi,Jabodetabek,2024-11-07
angkutprima_cust_0005,angkutprima,Toko Laut Biru 5,Menengah,Sumatera,2024-10-19
angkutprima_cust_0006,angkutprima,Warung Pangan Sehat 6,UMKM,Indonesia Timur,2024-05-26
angkutprima_cust_0007,angkutprima,Toko Rasa Nusantara 7,Korporasi,Sumatera,2024-05-07
angkutprima_cust_0008,angkutprima,UD Elektronik Ceria 8,UMKM,Jabodetabek,2024-11-26
angkutprima_cust_0009,angkutprima,PT Batik Cantik 9,Korporasi,Jawa,2024-02-11
angkutprima_cust_0010,angkutprima,UD Elektronik Ceria 10,Korporasi,Jawa,2024-06-23
angkutprima_cust_0011,angkutprima,PT Tekno Rimba 11,UMKM,Indonesia Timur,2024-10-28
angkutprima_cust_0012,angkutprima,PT Nusantara Digital 12,UMKM,Sumatera,2024-11-03
angkutprima_cust_0013,angkutprima,CV Fashion Lokal 13,UMKM,Indonesia Timur,2024-09-21
angkutprima_cust_0014,angkutprima,PT Pangan Sehat 14,UMKM,Indonesia Timur,2024-03-14
angkutprima_cust_0015,angkutprima,Warung Nusantara Digital 15,UMKM,Jawa,2024-05-15
angkutprima_cust_0016,angkutprima,UD Fashion Lokal 16,Menengah,Jawa,2024-01-17
angkutprima_cust_0017,angkutprima,Warung Citra Sejahtera 17,Korporasi,Indonesia Timur,2024-04-24
angkutprima_cust_0018,angkutprima,PT Berkah Mandiri 18,UMKM,Indonesia Timur,2024-08-24
angkutprima_cust_0019,angkutprima,Warung Sinar Abadi 19,Korporasi,Sumatera,2024-03-27
angkutprima_cust_0020,angkutprima,PT Indah Makmur 20,Menengah,Jabodetabek,2024-10-11
angkutprima_cust_0021,angkutprima,CV Laut Biru 21,UMKM,Sumatera,2024-05-28
angkutprima_cust_0022,angkutprima,CV Citra Sejahtera 22,Menengah,Sumatera,2024-06-11
angkutprima_cust_0023,angkutprima,Toko Sumber Rejeki 23,UMKM,Indonesia Timur,2024-03-02
angkutprima_cust_0024,angkutprima,CV Batik Cantik 24,Korporasi,Indonesia Timur,2024-01-17
angkutprima_cust_0025,angkutprima,Toko Fashion Lokal 25,Menengah,Indonesia Timur,2024-01-28
angkutprima_cust_0026,angkutprima,Warung Nusantara Digital 26,Korporasi,Jabodetabek,2024-11-06
angkutprima_cust_0027,angkutprima,Toko Berkah Mandiri 27,UMKM,Sumatera,2024-01-12
angkutprima_cust_0028,angkutprima,CV Fashion Lokal 28,Menengah,Sumatera,2024-09-23
angkutprima_cust_0029,angkutprima,UD Fashion Lokal 29,Korporasi,Jabodetabek,2024-08-10
angkutprima_cust_0030,angkutprima,Warung Nusantara Digital 30,Korporasi,Jabodetabek,2024-11-08
angkutprima_cust_0031,angkutprima,Warung Indah Makmur 31,Menengah,Sumatera,2024-06-14
angkutprima_cust_0032,angkutprima,Toko Gunung Mas 32,UMKM,Jabodetabek,2024-02-15
angkutprima_cust_0033,angkutprima,Toko Berkah Mandiri 33,Menengah,Sumatera,2024-10-07
angkutprima_cust_0034,angkutprima,Toko Anugerah Prima 34,UMKM,Sumatera,2024-05-24
angkutprima_cust_0035,angkutprima,Toko Rumah Nyaman 35,Korporasi,Sumatera,2024-06-09
angkutprima_cust_0036,angkutprima,UD Pangan Sehat 36,Korporasi,Jabodetabek,2024-05-12
angkutprima_cust_0037,angkutprima,Toko Anugerah Prima 37,UMKM,Sumatera,2024-04-17
angkutprima_cust_0038,angkutprima,UD Bumi Lestari 38,Menengah,Jabodetabek,2024-03-11
angkutprima_cust_0039,angkutprima,Toko Citra Sejahtera 39,Menengah,Jabodetabek,2024-11-07
angkutprima_cust_0040,angkutprima,UD Karya Bangsa 40,Menengah,Jabodetabek,2024-08-03
angkutprima_cust_0041,angkutprima,PT Pangan Sehat 41,UMKM,Jawa,2024-08-18
angkutprima_cust_0042,angkutprima,UD Gunung Mas 42,Menengah,Sumatera,2024-10-28
