sku,company_id,listing_title,category,list_price_idr
belinusa_prod_0001,belinusa,Beras Premium 5kg #1,F&B,3726113
belinusa_prod_0002,belinusa,Sapu Serbaguna #2,Rumah Tangga,1620927
belinusa_prod_0003,belinusa,Speaker Portable #3,Elektronik,843162
belinusa_prod_0004,belinusa,Batik Modern Pria #4,Fashion,2672490
belinusa_prod_0005,belinusa,Sambal Matah Botol #5,F&B,405321
belinusa_prod_0006,belinusa,Dispenser Galon #6,Rumah Tangga,372310
belinusa_prod_0007,belinusa,Set Peralatan Makan #7,Rumah Tangga,3600808
belinusa_prod_0008,belinusa,Sapu Serbaguna #8,Rumah Tangga,3091878
belinusa_prod_0009,belinusa,Susu UHT Lokal #9,F&B,2894554
belinusa_prod_0010,belinusa,Susu UHT Lokal #10,F&B,3707795
belinusa_prod_0011,belinusa,Dispenser Galon #11,Rumah Tangga,2973465
belinusa_prod_0012,belinusa,Speaker Portable #12,Elektronik,4095764
belinusa_prod_0013,belinusa,Lampu LED Hemat #13,Rumah Tangga,4486851
belinusa_prod_0014,belinusa,Jaket Parasut #14,Fashion,3639886
belinusa_prod_0015,belinusa,Tas Ransel Kerja #15,Fashion,1306795
belinusa_prod_0016,belinusa,Jaket Parasut #16,Fashion,1495016
belinusa_prod_0017,belinusa,Kopi Gayo 250g #17,F&B,2226959
belinusa_prod_0018,belinusa,Jaket Parasut #18,Fashion,1801636
belinusa_prod_0019,belinusa,Speaker Portable #19,Elektronik,4024974
belinusa_prod_0020,belinusa,Hijab Premium #20,Fashion,4311074
belinusa_prod_0021,belinusa,Set Peralatan Makan #21,Rumah Tangga,2164461
belinusa_prod_0022,belinusa,Batik Modern Pria #22,Fashion,2899833
belinusa_prod_0023,belinusa,Keripik Singkong #23,F&B,3398533
belinusa_prod_0024,belinusa,Wadah Penyimpanan #24,Rumah Tangga,688735
belinusa_prod_0025,belinusa,Smartphone Nusantara X1 #25,Elektronik,2670710
belinusa_prod_0026,belinusa,Batik Modern Pria #26,Fashion,3782075
belinusa_prod_0027,belinusa,Kopi Gayo 250g #27,F&B,84394
belinusa_prod_0028,belinusa,Jaket Parasut #28,Fashion,3671690
belinusa_prod_0029,belinusa,Sambal Matah Botol #29,F&B,3860467
belinusa_prod_0030,belinusa,Jaket Parasut #30,Fashion,4432740
belinusa_prod_0031,belinusa,Laptop Kantor Pro #31,Elektronik,3758341
belinusa_prod_0032,belinusa,Beras Premium 5kg #32,F&B,3881741
belinusa_prod_0033,belinusa,Sambal Matah Botol #33,F&B,735450
belinusa_prod_0034,belinusa,Sapu Serbaguna #34,Rumah Tangga,4338867
belinusa_prod_0035,belinusa,Laptop Kantor Pro #35,Elektronik,558834
belinusa_prod_0036,belinusa,Lampu LED Hemat #36,Rumah Tangga,1348977
belinusa_prod_0037,belinusa,Dispenser Galon #37,Rumah Tangga,4155434
belinusa_prod_0038,belinusa,Sambal Matah Botol #38,F&B,1485771
belinusa_prod_0039,belinusa,Earphone Bluetooth Lokal #39,Elektronik,1043881
belinusa_prod_0040,belinusa,Smartphone Nusantara X1 #40,Elektronik,1832995
belinusa_prod_0041,belinusa,Susu UHT Lokal #41,F&B,2016143
belinusa_prod_0042,belinusa,Panci Anti Lengket #42,Rumah Tangga,1495427
belinusa_prod_0043,belinusa,Smartwatch Sehat #43,Elektronik,1652339
belinusa_prod_0044,belinusa,Charger GaN 65W #44,Elektronik,1465633
belinusa_prod_0045,belinusa,Jaket Parasut #45,Fashion,769109
belinusa_prod_0046,belinusa,Panci Anti Lengket #46,Rumah Tangga,2461162
belinusa_prod_0047,belinusa,Kemeja Linen Wanita #47,Fashion,2869430
belinusa_prod_0048,belinusa,Susu UHT Lokal #48,F&B,941511
belinusa_prod_0049,belinusa,Smartphone Nusantara X1 #49,Elektronik,373429
belinusa_prod_0050,belinusa,Lampu LED Hemat #50,Rumah Tangga,3740278
belinusa_prod_0051,belinusa,Snack Tempe Crispy #51,F&B,2135279
belinusa_prod_0052,belinusa,Lampu LED Hemat #52,Rumah Tangga,825687
belinusa_prod_0053,belinusa,Panci Anti Lengket #53,Rumah Tangga,3951460
belinusa_prod_0054,belinusa,Kopi Gayo 250g #54,F&B,3892077
belinusa_prod_0055,belinusa,Susu UHT Lokal #55,F&B,535599
