line_id,company_id,order_id,sku,units,line_gmv_idr
belinusa_item_00001,belinusa,belinusa_ord_00001,belinusa_prod_0033,1,735450
belinusa_item_00002,belinusa,belinusa_ord_00001,belinusa_prod_0048,3,2824533
belinusa_item_00003,belinusa,belinusa_ord_00001,belinusa_prod_0034,4,17355468
belinusa_item_00004,belinusa,belinusa_ord_00002,belinusa_prod_0012,4,2457458
belinusa_item_00005,belinusa,belinusa_ord_00003,belinusa_prod_0009,1,2894554
belinusa_item_00006,belinusa,belinusa_ord_00003,belinusa_prod_0044,2,2931266
belinusa_item_00007,belinusa,belinusa_ord_00004,belinusa_prod_0017,4,8907836
belinusa_item_00008,belinusa,belinusa_ord_00004,belinusa_prod_0045,4,3076436
belinusa_item_00009,belinusa,belinusa_ord_00005,belinusa_prod_0004,1,2672490
belinusa_item_00010,belinusa,belinusa_ord_00005,belinusa_prod_0021,4,8657844
belinusa_item_00011,belinusa,belinusa_ord_00006,belinusa_prod_0001,3,11178339
belinusa_item_00012,belinusa,belinusa_ord_00006,belinusa_prod_0035,1,558834
belinusa_item_00013,belinusa,belinusa_ord_00006,belinusa_prod_0016,1,1495016
belinusa_item_00014,belinusa,belinusa_ord_00007,belinusa_prod_0049,1,56014
belinusa_item_00015,belinusa,belinusa_ord_00007,belinusa_prod_0037,3,1869945
belinusa_item_00016,belinusa,belinusa_ord_00007,belinusa_prod_0015,4,784077
belinusa_item_00017,belinusa,belinusa_ord_00008,belinusa_prod_0053,1,3951460
belinusa_item_00018,belinusa,belinusa_ord_00009,belinusa_prod_0028,3,11015070
belinusa_item_00019,belinusa,belinusa_ord_00009,belinusa_prod_0022,4,11599332
belinusa_item_00020,belinusa,belinusa_ord_00010,belinusa_prod_0007,2,1080242
belinusa_item_00021,belinusa,belinusa_ord_00010,belinusa_prod_0055,1,80340
belinusa_item_00022,belinusa,belinusa_ord_00011,belinusa_prod_0009,3,8683662
belinusa_item_00023,belinusa,belinusa_ord_00011,belinusa_prod_0034,2,8677734
belinusa_item_00024,belinusa,belinusa_ord_00011,belinusa_prod_0045,1,769109
belinusa_item_00025,belinusa,belinusa_ord_00012,belinusa_prod_0029,4,15441868
belinusa_item_00026,belinusa,belinusa_ord_00012,belinusa_prod_0047,4,11477720
belinusa_item_00027,belinusa,belinusa_ord_00012,belinusa_prod_0005,1,405321
belinusa_item_00028,belinusa,belinusa_ord_00013,belinusa_prod_0008,3,9275634
belinusa_item_00029,belinusa,belinusa_ord_00013,belinusa_prod_0050,2,7480556
belinusa_item_00030,belinusa,belinusa_ord_00014,belinusa_prod_0015,3,588058
belinusa_item_00031,belinusa,belinusa_ord_00014,belinusa_prod_0042,2,448628
belinusa_item_00032,belinusa,belinusa_ord_00014,belinusa_prod_0027,3,37977
belinusa_item_00033,belinusa,belinusa_ord_00015,belinusa_prod_0025,3,1201820
belinusa_item_00034,belinusa,belinusa_ord_00016,belinusa_prod_0035,1,83825
belinusa_item_00035,belinusa,belinusa_ord_00017,belinusa_prod_0002,4,6483708
belinusa_item_00036,belinusa,belinusa_ord_00018,belinusa_prod_0031,3,11275023
belinusa_item_00037,belinusa,belinusa_ord_00018,belinusa_prod_0016,4,5980064
belinusa_item_00038,belinusa,belinusa_ord_00019,belinusa_prod_0025,4,10682840
belinusa_item_00039,belinusa,belinusa_ord_00020,belinusa_prod_0005,1,405321
belinusa_item_00040,belinusa,belinusa_ord_00021,belinusa_prod_0015,3,3920385
belinusa_item_00041,belinusa,belinusa_ord_00021,belinusa_prod_0049,4,1493716
belinusa_item_00042,belinusa,belinusa_ord_00022,belinusa_prod_0028,2,7343380
belinusa_item_00043,belinusa,belinusa_ord_00022,belinusa_prod_0051,3,6405837
belinusa_item_00044,belinusa,belinusa_ord_00023,belinusa_prod_0035,3,1676502
belinusa_item_00045,belinusa,belinusa_ord_00023,belinusa_prod_0031,3,11275023
belinusa_item_00046,belinusa,belinusa_ord_00023,belinusa_prod_0032,4,15526964
belinusa_item_00047,belinusa,belinusa_ord_00024,belinusa_prod_0024,2,1377470
belinusa_item_00048,belinusa,belinusa_ord_00024,belinusa_prod_0036,3,4046931
belinusa_item_00049,belinusa,belinusa_ord_00025,belinusa_prod_0041,4,8064572
belinusa_item_00050,belinusa,belinusa_ord_00025,belinusa_prod_0051,3,6405837
belinusa_item_00051,belinusa,belinusa_ord_00025,belinusa_prod_0049,3,1120287
