order_id,company_id,seller_id,order_date,fulfillment_status,gmv_idr
belinusa_ord_00003,belinusa,belinusa_cust_0082,2025-09-01,completed,5825820
belinusa_ord_00046,belinusa,belinusa_cust_0471,2025-09-01,completed,16634278
belinusa_ord_00102,belinusa,belinusa_cust_0267,2025-09-01,completed,7902920
belinusa_ord_00130,belinusa,belinusa_cust_0069,2025-09-01,cancelled,1233935
belinusa_ord_00131,belinusa,belinusa_cust_0386,2025-09-01,completed,10491312
belinusa_ord_00136,belinusa,belinusa_cust_0014,2025-09-01,completed,27479220
belinusa_ord_00164,belinusa,belinusa_cust_0211,2025-09-01,completed,23167834
belinusa_ord_00165,belinusa,belinusa_cust_0047,2025-09-01,completed,10331437
belinusa_ord_00189,belinusa,belinusa_cust_0098,2025-09-01,completed,6956504
belinusa_ord_00204,belinusa,belinusa_cust_0413,2025-09-01,completed,22855972
belinusa_ord_00216,belinusa,belinusa_cust_0219,2025-09-01,cancelled,3899603
belinusa_ord_00231,belinusa,belinusa_cust_0063,2025-09-01,completed,4103620
belinusa_ord_00241,belinusa,belinusa_cust_0009,2025-09-01,completed,3758341
belinusa_ord_00249,belinusa,belinusa_cust_0159,2025-09-01,completed,5969503
belinusa_ord_00262,belinusa,belinusa_cust_0083,2025-09-01,completed,28886457
belinusa_ord_00268,belinusa,belinusa_cust_0119,2025-09-01,cancelled,994302
belinusa_ord_00270,belinusa,belinusa_cust_0329,2025-09-01,completed,12015342
belinusa_ord_00336,belinusa,belinusa_cust_0333,2025-09-01,completed,4338867
belinusa_ord_00001,belinusa,belinusa_cust_0103,2025-09-02,completed,20915451
belinusa_ord_00025,belinusa,belinusa_cust_0147,2025-09-02,completed,15590696
belinusa_ord_00044,belinusa,belinusa_cust_0354,2025-09-02,completed,46598022
belinusa_ord_00054,belinusa,belinusa_cust_0339,2025-09-02,completed,8409346
belinusa_ord_00088,belinusa,belinusa_cust_0200,2025-09-02,completed,26103766
belinusa_ord_00142,belinusa,belinusa_cust_0262,2025-09-02,completed,15358863
belinusa_ord_00173,belinusa,belinusa_cust_0466,2025-09-02,completed,5095727
belinusa_ord_00224,belinusa,belinusa_cust_0023,2025-09-02,completed,16157660
belinusa_ord_00255,belinusa,belinusa_cust_0309,2025-09-02,completed,10018598
belinusa_ord_00257,belinusa,belinusa_cust_0248,2025-09-02,completed,8683662
belinusa_ord_00293,belinusa,belinusa_cust_0096,2025-09-02,completed,14635981
belinusa_ord_00315,belinusa,belinusa_cust_0231,2025-09-02,completed,3860467
belinusa_ord_00318,belinusa,belinusa_cust_0164,2025-09-02,completed,7720934
belinusa_ord_00342,belinusa,belinusa_cust_0372,2025-09-02,completed,5024022
belinusa_ord_00368,belinusa,belinusa_cust_0158,2025-09-02,completed,253182
belinusa_ord_00375,belinusa,belinusa_cust_0383,2025-09-02,completed,16287897
belinusa_ord_00022,belinusa,belinusa_cust_0053,2025-09-03,completed,13749217
belinusa_ord_00112,belinusa,belinusa_cust_0448,2025-09-03,cancelled,545983
belinusa_ord_00125,belinusa,belinusa_cust_0385,2025-09-03,cancelled,2772809
belinusa_ord_00175,belinusa,belinusa_cust_0421,2025-09-03,completed,5182559
belinusa_ord_00230,belinusa,belinusa_cust_0044,2025-09-03,cancelled,430415
belinusa_ord_00360,belinusa,belinusa_cust_0285,2025-09-03,cancelled,1893730
belinusa_ord_00379,belinusa,belinusa_cust_0038,2025-09-03,completed,13272516
belinusa_ord_00033,belinusa,belinusa_cust_0022,2025-09-04,cancelled,2089423
belinusa_ord_00042,belinusa,belinusa_cust_0340,2025-09-04,completed,2609416
belinusa_ord_00057,belinusa,belinusa_cust_0117,2025-09-04,completed,19079937
belinusa_ord_00072,belinusa,belinusa_cust_0409,2025-09-04,completed,8771607
belinusa_ord_00106,belinusa,belinusa_cust_0251,2025-09-04,completed,7239988
belinusa_ord_00133,belinusa,belinusa_cust_0424,2025-09-04,completed,10547233
belinusa_ord_00134,belinusa,belinusa_cust_0263,2025-09-04,completed,5604883
belinusa_ord_00149,belinusa,belinusa_cust_0036,2025-09-04,completed,6483708
belinusa_ord_00151,belinusa,belinusa_cust_0237,2025-09-04,completed,8191528
belinusa_ord_00250,belinusa,belinusa_cust_0007,2025-09-04,completed,9530573
