seller_id,company_id,seller_name,seller_tier,region,onboarded_at
belinusa_cust_0001,belinusa,PT Citra Sejahtera 1,UMKM,Jawa,2024-09-21
belinusa_cust_0002,belinusa,Toko Mitra Dagang 2,Korporasi,Sumatera,2024-07-03
belinusa_cust_0003,belinusa,CV Maju Jaya 3,Korporasi,Jawa,2024-08-13
belinusa_cust_0004,belinusa,PT Rasa Nusantara 4,Korporasi,Jabodetabek,2024-05-24
belinusa_cust_0005,belinusa,PT Nusantara Digital 5,UMKM,Jawa,2024-03-04
belinusa_cust_0006,belinusa,CV Rumah Nyaman 6,Menengah,Sumatera,2024-05-01
belinusa_cust_0007,belinusa,CV Fashion Lokal 7,Korporasi,Sumatera,2024-09-17
belinusa_cust_0008,belinusa,CV Karya Bangsa 8,Menengah,Jawa,2024-11-14
belinusa_cust_0009,belinusa,CV Sumber Rejeki 9,UMKM,Jabodetabek,2024-09-07
belinusa_cust_0010,belinusa,PT Maju Jaya 10,UMKM,Jawa,2024-06-11
belinusa_cust_0011,belinusa,PT Mitra Dagang 11,UMKM,Sumatera,2024-06-11
belinusa_cust_0012,belinusa,Warung Laut Biru 12,Menengah,Jabodetabek,2024-10-06
belinusa_cust_0013,belinusa,UD Rasa Nusantara 13,Korporasi,Sumatera,2024-06-19
belinusa_cust_0014,belinusa,CV Rasa Nusantara 14,Korporasi,Jabodetabek,2024-04-13
belinusa_cust_0015,belinusa,CV Gunung Mas 15,Korporasi,Indonesia Timur,2024-11-26
belinusa_cust_0016,belinusa,UD Rasa Nusantara 16,Menengah,Jabodetabek,2024-09-21
belinusa_cust_0017,belinusa,Toko Gunung Mas 17,Korporasi,Jabodetabek,2024-07-21
belinusa_cust_0018,belinusa,UD Anugerah Prima 18,Menengah,Indonesia Timur,2024-01-01
belinusa_cust_0019,belinusa,CV Nusantara Digital 19,UMKM,Indonesia Timur,2024-07-03
belinusa_cust_0020,belinusa,PT Berkah Mandiri 20,Korporasi,Jabodetabek,2024-08-24
belinusa_cust_0021,belinusa,Warung Karya Bangsa 21,UMKM,Indonesia Timur,2024-05-05
belinusa_cust_0022,belinusa,PT Tekno Rimba 22,Menengah,Indonesia Timur,2024-04-19
belinusa_cust_0023,belinusa,UD Anugerah Prima 23,UMKM,Sumatera,2024-12-18
belinusa_cust_0024,belinusa,PT Rumah Nyaman 24,Korporasi,Jawa,2024-12-14
belinusa_cust_0025,belinusa,PT Sumber Rejeki 25,Korporasi,Indonesia Timur,2024-03-10
belinusa_cust_0026,belinusa,CV Gunung Mas 26,Menengah,Jawa,2024-11-09
belinusa_cust_0027,belinusa,Warung Maju Jaya 27,UMKM,Jawa,2024-11-25
belinusa_cust_0028,belinusa,Toko Gunung Mas 28,Menengah,Indonesia Timur,2024-01-12
belinusa_cust_0029,belinusa,CV Rumah Nyaman 29,Menengah,Jabodetabek,2024-05-11
belinusa_cust_0030,belinusa,Warung Laut Biru 30,Menengah,Indonesia Timur,2024-12-15
