sku,company_id,listing_title,category,list_price_idr
bukadagang_prod_0001,bukadagang,Minyak Goreng 2L #1,F&B,3624008
bukadagang_prod_0002,bukadagang,Dispenser Galon #2,Rumah Tangga,990658
bukadagang_prod_0003,bukadagang,Jaket Parasut #3,Fashion,1718511
bukadagang_prod_0004,bukadagang,Kopi Gayo 250g #4,F&B,2009324
bukadagang_prod_0005,bukadagang,Sapu Serbaguna #5,Rumah Tangga,4012102
bukadagang_prod_0006,bukadagang,Hijab Premium #6,Fashion,127698
bukadagang_prod_0007,bukadagang,Vacuum Cleaner Mini #7,Rumah Tangga,751722
bukadagang_prod_0008,bukadagang,Hijab Premium #8,Fashion,3409958
bukadagang_prod_0009,bukadagang,Batik Modern Pria #9,Fashion,198976
bukadagang_prod_0010,bukadagang,Sapu Serbaguna #10,Rumah Tangga,1055435
bukadagang_prod_0011,bukadagang,Powerbank 20.000mAh #11,Elektronik,2503579
bukadagang_prod_0012,bukadagang,Laptop Kantor Pro #12,Elektronik,2934506
bukadagang_prod_0013,bukadagang,Set Peralatan Makan #13,Rumah Tangga,3483931
bukadagang_prod_0014,bukadagang,Beras Premium 5kg #14,F&B,1458810
bukadagang_prod_0015,bukadagang,Panci Anti Lengket #15,Rumah Tangga,1580479
bukadagang_prod_0016,bukadagang,Speaker Portable #16,Elektronik,3625795
bukadagang_prod_0017,bukadagang,Speaker Portable #17,Elektronik,3445430
bukadagang_prod_0018,bukadagang,Smartphone Nusantara X1 #18,Elektronik,2221480
bukadagang_prod_0019,bukadagang,Set Peralatan Makan #19,Rumah Tangga,2738002
bukadagang_prod_0020,bukadagang,Batik Modern Pria #20,Fashion,461969
bukadagang_prod_0021,bukadagang,Snack Tempe Crispy #21,F&B,3419372
bukadagang_prod_0022,bukadagang,Smartphone Nusantara X1 #22,Elektronik,3159307
bukadagang_prod_0023,bukadagang,Panci Anti Lengket #23,Rumah Tangga,263991
bukadagang_prod_0024,bukadagang,Set Peralatan Makan #24,Rumah Tangga,2282387
bukadagang_prod_0025,bukadagang,Kopi Gayo 250g #25,F&B,4298436
bukadagang_prod_0026,bukadagang,Set Peralatan Makan #26,Rumah Tangga,2939475
bukadagang_prod_0027,bukadagang,Kopi Gayo 250g #27,F&B,3805786
bukadagang_prod_0028,bukadagang,Sapu Serbaguna #28,Rumah Tangga,2139579
bukadagang_prod_0029,bukadagang,Charger GaN 65W #29,Elektronik,2483394
bukadagang_prod_0030,bukadagang,Kemeja Linen Wanita #30,Fashion,2286584
bukadagang_prod_0031,bukadagang,Powerbank 20.000mAh #31,Elektronik,4197290
bukadagang_prod_0032,bukadagang,Sapu Serbaguna #32,Rumah Tangga,1954325
bukadagang_prod_0033,bukadagang,Susu UHT Lokal #33,F&B,771470
bukadagang_prod_0034,bukadagang,Snack Tempe Crispy #34,F&B,2114041
bukadagang_prod_0035,bukadagang,Beras Premium 5kg #35,F&B,1147506
bukadagang_prod_0036,bukadagang,Jaket Parasut #36,Fashion,1800775
bukadagang_prod_0037,bukadagang,Smartphone Nusantara X1 #37,Elektronik,2548153
bukadagang_prod_0038,bukadagang,Charger GaN 65W #38,Elektronik,223002
bukadagang_prod_0039,bukadagang,Tas Ransel Kerja #39,Fashion,267363
bukadagang_prod_0040,bukadagang,Kipas Angin Meja #40,Rumah Tangga,4441737
bukadagang_prod_0041,bukadagang,Celana Chino #41,Fashion,2792425
bukadagang_prod_0042,bukadagang,Hijab Premium #42,Fashion,4350994
bukadagang_prod_0043,bukadagang,Batik Modern Pria #43,Fashion,4186976
bukadagang_prod_0044,bukadagang,Hijab Premium #44,Fashion,157059
bukadagang_prod_0045,bukadagang,Tas Ransel Kerja #45,Fashion,1425429
