line_id,company_id,order_id,sku,units,line_gmv_idr
bukadagang_item_00001,bukadagang,bukadagang_ord_00001,bukadagang_prod_0006,4,76619
bukadagang_item_00002,bukadagang,bukadagang_ord_00001,bukadagang_prod_0006,4,76619
bukadagang_item_00003,bukadagang,bukadagang_ord_00001,bukadagang_prod_0009,1,29846
bukadagang_item_00004,bukadagang,bukadagang_ord_00002,bukadagang_prod_0009,1,198976
bukadagang_item_00005,bukadagang,bukadagang_ord_00002,bukadagang_prod_0002,1,990658
bukadagang_item_00006,bukadagang,bukadagang_ord_00003,bukadagang_prod_0024,2,4564774
bukadagang_item_00007,bukadagang,bukadagang_ord_00003,bukadagang_prod_0028,4,8558316
bukadagang_item_00008,bukadagang,bukadagang_ord_00004,bukadagang_prod_0037,2,5096306
bukadagang_item_00009,bukadagang,bukadagang_ord_00004,bukadagang_prod_0034,4,8456164
bukadagang_item_00010,bukadagang,bukadagang_ord_00004,bukadagang_prod_0009,2,397952
bukadagang_item_00011,bukadagang,bukadagang_ord_00005,bukadagang_prod_0018,3,6664440
bukadagang_item_00012,bukadagang,bukadagang_ord_00005,bukadagang_prod_0042,1,4350994
bukadagang_item_00013,bukadagang,bukadagang_ord_00005,bukadagang_prod_0042,4,17403976
bukadagang_item_00014,bukadagang,bukadagang_ord_00006,bukadagang_prod_0025,3,12895308
bukadagang_item_00015,bukadagang,bukadagang_ord_00006,bukadagang_prod_0025,4,17193744
bukadagang_item_00016,bukadagang,bukadagang_ord_00007,bukadagang_prod_0005,3,12036306
bukadagang_item_00017,bukadagang,bukadagang_ord_00007,bukadagang_prod_0038,3,669006
bukadagang_item_00018,bukadagang,bukadagang_ord_00007,bukadagang_prod_0024,2,4564774
bukadagang_item_00019,bukadagang,bukadagang_ord_00008,bukadagang_prod_0015,2,3160958
bukadagang_item_00020,bukadagang,bukadagang_ord_00008,bukadagang_prod_0035,2,2295012
bukadagang_item_00021,bukadagang,bukadagang_ord_00009,bukadagang_prod_0004,1,301399
bukadagang_item_00022,bukadagang,bukadagang_ord_00010,bukadagang_prod_0011,4,10014316
bukadagang_item_00023,bukadagang,bukadagang_ord_00010,bukadagang_prod_0033,4,3085880
bukadagang_item_00024,bukadagang,bukadagang_ord_00010,bukadagang_prod_0035,3,3442518
bukadagang_item_00025,bukadagang,bukadagang_ord_00011,bukadagang_prod_0043,1,4186976
bukadagang_item_00026,bukadagang,bukadagang_ord_00012,bukadagang_prod_0022,2,6318614
bukadagang_item_00027,bukadagang,bukadagang_ord_00013,bukadagang_prod_0043,4,2512186
bukadagang_item_00028,bukadagang,bukadagang_ord_00013,bukadagang_prod_0007,2,225517
bukadagang_item_00029,bukadagang,bukadagang_ord_00014,bukadagang_prod_0008,1,3409958
bukadagang_item_00030,bukadagang,bukadagang_ord_00014,bukadagang_prod_0019,4,10952008
bukadagang_item_00031,bukadagang,bukadagang_ord_00015,bukadagang_prod_0005,3,12036306
bukadagang_item_00032,bukadagang,bukadagang_ord_00015,bukadagang_prod_0020,1,461969
bukadagang_item_00033,bukadagang,bukadagang_ord_00016,bukadagang_prod_0017,4,13781720
bukadagang_item_00034,bukadagang,bukadagang_ord_00016,bukadagang_prod_0015,3,4741437
bukadagang_item_00035,bukadagang,bukadagang_ord_00016,bukadagang_prod_0025,4,17193744
bukadagang_item_00036,bukadagang,bukadagang_ord_00017,bukadagang_prod_0041,3,8377275
bukadagang_item_00037,bukadagang,bukadagang_ord_00017,bukadagang_prod_0009,4,795904
bukadagang_item_00038,bukadagang,bukadagang_ord_00017,bukadagang_prod_0029,2,4966788
bukadagang_item_00039,bukadagang,bukadagang_ord_00018,bukadagang_prod_0029,3,7450182
bukadagang_item_00040,bukadagang,bukadagang_ord_00018,bukadagang_prod_0002,2,1981316
bukadagang_item_00041,bukadagang,bukadagang_ord_00018,bukadagang_prod_0028,3,6418737
bukadagang_item_00042,bukadagang,bukadagang_ord_00019,bukadagang_prod_0031,3,12591870
bukadagang_item_00043,bukadagang,bukadagang_ord_00019,bukadagang_prod_0034,1,2114041
bukadagang_item_00044,bukadagang,bukadagang_ord_00020,bukadagang_prod_0021,1,3419372
bukadagang_item_00045,bukadagang,bukadagang_ord_00020,bukadagang_prod_0006,1,127698
bukadagang_item_00046,bukadagang,bukadagang_ord_00021,bukadagang_prod_0044,4,628236
bukadagang_item_00047,bukadagang,bukadagang_ord_00022,bukadagang_prod_0015,3,711216
bukadagang_item_00048,bukadagang,bukadagang_ord_00022,bukadagang_prod_0043,2,1256093
bukadagang_item_00049,bukadagang,bukadagang_ord_00022,bukadagang_prod_0003,3,773330
bukadagang_item_00050,bukadagang,bukadagang_ord_00023,bukadagang_prod_0018,4,8885920
bukadagang_item_00051,bukadagang,bukadagang_ord_00024,bukadagang_prod_0044,3,70677
bukadagang_item_00052,bukadagang,bukadagang_ord_00024,bukadagang_prod_0008,1,511494
bukadagang_item_00053,bukadagang,bukadagang_ord_00025,bukadagang_prod_0032,3,5862975
bukadagang_item_00054,bukadagang,bukadagang_ord_00026,bukadagang_prod_0004,1,2009324
bukadagang_item_00055,bukadagang,bukadagang_ord_00026,bukadagang_prod_0041,4,11169700
bukadagang_item_00056,bukadagang,bukadagang_ord_00026,bukadagang_prod_0029,3,7450182
bukadagang_item_00057,bukadagang,bukadagang_ord_00027,bukadagang_prod_0017,3,1550444
bukadagang_item_00058,bukadagang,bukadagang_ord_00027,bukadagang_prod_0005,4,2407261
bukadagang_item_00059,bukadagang,bukadagang_ord_00028,bukadagang_prod_0001,3,1630804
bukadagang_item_00060,bukadagang,bukadagang_ord_00028,bukadagang_prod_0005,3,1805446
bukadagang_item_00061,bukadagang,bukadagang_ord_00029,bukadagang_prod_0041,1,418864
bukadagang_item_00062,bukadagang,bukadagang_ord_00029,bukadagang_prod_0006,3,57464
bukadagang_item_00063,bukadagang,bukadagang_ord_00029,bukadagang_prod_0016,3,1631608
bukadagang_item_00064,bukadagang,bukadagang_ord_00030,bukadagang_prod_0011,2,5007158
bukadagang_item_00065,bukadagang,bukadagang_ord_00030,bukadagang_prod_0024,3,6847161
bukadagang_item_00066,bukadagang,bukadagang_ord_00031,bukadagang_prod_0032,4,7817300
bukadagang_item_00067,bukadagang,bukadagang_ord_00031,bukadagang_prod_0010,1,1055435
