seller_id,company_id,seller_name,seller_tier,region,onboarded_at
bukadagang_cust_0001,bukadagang,PT Rasa Nusantara 1,Korporasi,Jawa,2024-09-14
bukadagang_cust_0002,bukadagang,Warung Tekno Rimba 2,UMKM,Indonesia Timur,2024-01-06
bukadagang_cust_0003,bukadagang,PT Maju Jaya 3,UMKM,Jawa,2024-06-02
bukadagang_cust_0004,bukadagang,CV Citra Sejahtera 4,Menengah,Jawa,2024-12-02
bukadagang_cust_0005,bukadagang,Warung Pangan Sehat 5,Korporasi,Jabodetabek,2024-03-01
bukadagang_cust_0006,bukadagang,Toko Bumi Lestari 6,Menengah,Jawa,2024-04-08
bukadagang_cust_0007,bukadagang,CV Sinar Abadi 7,Menengah,Sumatera,2024-08-17
bukadagang_cust_0008,bukadagang,PT Rumah Nyaman 8,Menengah,Jawa,2024-01-27
bukadagang_cust_0009,bukadagang,CV Laut Biru 9,UMKM,Jawa,2024-04-11
bukadagang_cust_0010,bukadagang,CV Karya Bangsa 10,Menengah,Indonesia Timur,2024-05-16
bukadagang_cust_0011,bukadagang,UD Pangan Sehat 11,Menengah,Jawa,2024-05-14
bukadagang_cust_0012,bukadagang,CV Indah Makmur 12,Menengah,Indonesia Timur,2024-07-15
bukadagang_cust_0013,bukadagang,PT Sinar Abadi 13,Menengah,Sumatera,2024-05-13
bukadagang_cust_0014,bukadagang,CV Anugerah Prima 14,Menengah,Jabodetabek,2024-04-13
bukadagang_cust_0015,bukadagang,UD Pangan Sehat 15,Korporasi,Sumatera,2024-06-23
bukadagang_cust_0016,bukadagang,Warung Bumi Lestari 16,Korporasi,Sumatera,2024-10-15
bukadagang_cust_0017,bukadagang,Toko Nusantara Digital 17,UMKM,Jabodetabek,2024-02-01
bukadagang_cust_0018,bukadagang,CV Maju Jaya 18,Menengah,Indonesia Timur,2024-02-19
bukadagang_cust_0019,bukadagang,Warung Berkah Mandiri 19,Korporasi,Jabodetabek,2024-04-23
bukadagang_cust_0020,bukadagang,UD Pangan Sehat 20,UMKM,Sumatera,2024-07-23
