leg_id,company_id,booking_id,service_id,qty,fare_component_idr
gocepat_item_00001,gocepat,gocepat_ord_00001,gocepat_prod_0038,1,2399051
gocepat_item_00002,gocepat,gocepat_ord_00002,gocepat_prod_0008,3,3341151
gocepat_item_00003,gocepat,gocepat_ord_00003,gocepat_prod_0033,4,16305456
gocepat_item_00004,gocepat,gocepat_ord_00003,gocepat_prod_0026,3,8930130
gocepat_item_00005,gocepat,gocepat_ord_00004,gocepat_prod_0038,3,7197153
gocepat_item_00006,gocepat,gocepat_ord_00004,gocepat_prod_0027,2,8921838
gocepat_item_00007,gocepat,gocepat_ord_00005,gocepat_prod_0019,2,6931160
gocepat_item_00008,gocepat,gocepat_ord_00006,gocepat_prod_0031,1,1200676
gocepat_item_00009,gocepat,gocepat_ord_00007,gocepat_prod_0025,4,10090648
gocepat_item_00010,gocepat,gocepat_ord_00008,gocepat_prod_0040,2,8776362
gocepat_item_00011,gocepat,gocepat_ord_00008,gocepat_prod_0025,3,7567986
gocepat_item_00012,gocepat,gocepat_ord_00009,gocepat_prod_0009,3,5068986
gocepat_item_00013,gocepat,gocepat_ord_00010,gocepat_prod_0039,4,15329764
gocepat_item_00014,gocepat,gocepat_ord_00010,gocepat_prod_0030,2,4330720
gocepat_item_00015,gocepat,gocepat_ord_00011,gocepat_prod_0002,3,10042971
gocepat_item_00016,gocepat,gocepat_ord_00012,gocepat_prod_0039,1,3832441
gocepat_item_00017,gocepat,gocepat_ord_00013,gocepat_prod_0002,2,6695314
gocepat_item_00018,gocepat,gocepat_ord_00013,gocepat_prod_0002,2,6695314
gocepat_item_00019,gocepat,gocepat_ord_00013,gocepat_prod_0015,1,2932402
gocepat_item_00020,gocepat,gocepat_ord_00014,gocepat_prod_0009,2,3379324
gocepat_item_00021,gocepat,gocepat_ord_00014,gocepat_prod_0013,3,7468818
gocepat_item_00022,gocepat,gocepat_ord_00015,gocepat_prod_0016,1,572808
gocepat_item_00023,gocepat,gocepat_ord_00015,gocepat_prod_0039,3,1724598
gocepat_item_00024,gocepat,gocepat_ord_00015,gocepat_prod_0035,2,1342629
gocepat_item_00025,gocepat,gocepat_ord_00016,gocepat_prod_0020,3,12296028
gocepat_item_00026,gocepat,gocepat_ord_00016,gocepat_prod_0017,4,14066044
gocepat_item_00027,gocepat,gocepat_ord_00017,gocepat_prod_0007,2,4459842
gocepat_item_00028,gocepat,gocepat_ord_00018,gocepat_prod_0030,1,2165360
gocepat_item_00029,gocepat,gocepat_ord_00018,gocepat_prod_0007,1,2229921
gocepat_item_00030,gocepat,gocepat_ord_00018,gocepat_prod_0038,4,9596204
gocepat_item_00031,gocepat,gocepat_ord_00019,gocepat_prod_0011,4,13072188
gocepat_item_00032,gocepat,gocepat_ord_00019,gocepat_prod_0026,2,5953420
gocepat_item_00033,gocepat,gocepat_ord_00020,gocepat_prod_0020,4,16394704
gocepat_item_00034,gocepat,gocepat_ord_00021,gocepat_prod_0039,1,3832441
gocepat_item_00035,gocepat,gocepat_ord_00021,gocepat_prod_0028,2,5237550
gocepat_item_00036,gocepat,gocepat_ord_00022,gocepat_prod_0037,2,757475
gocepat_item_00037,gocepat,gocepat_ord_00022,gocepat_prod_0034,2,21779
gocepat_item_00038,gocepat,gocepat_ord_00022,gocepat_prod_0008,3,501173
gocepat_item_00039,gocepat,gocepat_ord_00023,gocepat_prod_0037,3,7574754
gocepat_item_00040,gocepat,gocepat_ord_00023,gocepat_prod_0012,3,9397302
gocepat_item_00041,gocepat,gocepat_ord_00024,gocepat_prod_0014,1,3833420
gocepat_item_00042,gocepat,gocepat_ord_00024,gocepat_prod_0005,3,1327947
gocepat_item_00043,gocepat,gocepat_ord_00024,gocepat_prod_0010,1,197581
gocepat_item_00044,gocepat,gocepat_ord_00025,gocepat_prod_0024,4,17634868
gocepat_item_00045,gocepat,gocepat_ord_00025,gocepat_prod_0016,3,11456166
gocepat_item_00046,gocepat,gocepat_ord_00026,gocepat_prod_0019,1,3465580
