booking_id,company_id,partner_id,booked_at,booking_status,fare_idr
gocepat_ord_00050,gocepat,gocepat_cust_0052,2025-09-01,completed,5147084
gocepat_ord_00064,gocepat,gocepat_cust_0266,2025-09-01,completed,22193900
gocepat_ord_00123,gocepat,gocepat_cust_0141,2025-09-01,cancelled,4417829
gocepat_ord_00192,gocepat,gocepat_cust_0234,2025-09-01,completed,15103310
gocepat_ord_00196,gocepat,gocepat_cust_0251,2025-09-01,completed,5189526
gocepat_ord_00237,gocepat,gocepat_cust_0049,2025-09-01,completed,290388
gocepat_ord_00243,gocepat,gocepat_cust_0213,2025-09-01,cancelled,1101102
gocepat_ord_00300,gocepat,gocepat_cust_0072,2025-09-01,completed,9397302
gocepat_ord_00335,gocepat,gocepat_cust_0388,2025-09-01,cancelled,88911
gocepat_ord_00338,gocepat,gocepat_cust_0428,2025-09-01,completed,6857662
gocepat_ord_00385,gocepat,gocepat_cust_0426,2025-09-01,cancelled,1596533
gocepat_ord_00026,gocepat,gocepat_cust_0449,2025-09-02,completed,6781078
gocepat_ord_00065,gocepat,gocepat_cust_0227,2025-09-02,completed,17401229
gocepat_ord_00096,gocepat,gocepat_cust_0316,2025-09-02,completed,1113717
gocepat_ord_00107,gocepat,gocepat_cust_0062,2025-09-02,completed,8197352
gocepat_ord_00139,gocepat,gocepat_cust_0428,2025-09-02,cancelled,2130863
gocepat_ord_00242,gocepat,gocepat_cust_0062,2025-09-02,completed,14426827
gocepat_ord_00258,gocepat,gocepat_cust_0417,2025-09-02,completed,3689946
gocepat_ord_00292,gocepat,gocepat_cust_0410,2025-09-02,completed,32034906
gocepat_ord_00304,gocepat,gocepat_cust_0117,2025-09-02,completed,17741811
gocepat_ord_00310,gocepat,gocepat_cust_0219,2025-09-02,completed,5387107
gocepat_ord_00348,gocepat,gocepat_cust_0388,2025-09-02,completed,6264868
gocepat_ord_00355,gocepat,gocepat_cust_0111,2025-09-02,completed,8904126
gocepat_ord_00364,gocepat,gocepat_cust_0293,2025-09-02,completed,12834769
gocepat_ord_00018,gocepat,gocepat_cust_0324,2025-09-03,completed,13991485
gocepat_ord_00039,gocepat,gocepat_cust_0110,2025-09-03,cancelled,3224247
gocepat_ord_00074,gocepat,gocepat_cust_0195,2025-09-03,completed,11320889
gocepat_ord_00082,gocepat,gocepat_cust_0157,2025-09-03,completed,72597
gocepat_ord_00106,gocepat,gocepat_cust_0109,2025-09-03,completed,7666840
gocepat_ord_00141,gocepat,gocepat_cust_0141,2025-09-03,completed,13145292
gocepat_ord_00150,gocepat,gocepat_cust_0347,2025-09-03,completed,17113435
gocepat_ord_00205,gocepat,gocepat_cust_0183,2025-09-03,cancelled,1165126
gocepat_ord_00226,gocepat,gocepat_cust_0092,2025-09-03,completed,7487117
gocepat_ord_00257,gocepat,gocepat_cust_0329,2025-09-03,completed,21139371
gocepat_ord_00306,gocepat,gocepat_cust_0155,2025-09-03,completed,35259687
