partner_id,company_id,partner_name,partner_type,service_city_region,joined_at
gocepat_cust_0001,gocepat,CV Laut Biru 1,UMKM,Jabodetabek,2024-07-19
gocepat_cust_0002,gocepat,CV Karya Bangsa 2,UMKM,Sumatera,2024-03-03
gocepat_cust_0003,gocepat,PT Sumber Rejeki 3,UMKM,Jawa,2024-06-04
gocepat_cust_0004,gocepat,PT Batik Cantik 4,Korporasi,Jabodetabek,2024-10-08
gocepat_cust_0005,gocepat,Warung Sumber Rejeki 5,Menengah,Jabodetabek,2024-01-13
gocepat_cust_0006,gocepat,PT Sinar Abadi 6,UMKM,Sumatera,2024-08-02
gocepat_cust_0007,gocepat,PT Nusantara Digital 7,Korporasi,Sumatera,2024-08-04
gocepat_cust_0008,gocepat,CV Karya Bangsa 8,Menengah,Indonesia Timur,2024-02-22
gocepat_cust_0009,gocepat,CV Batik Cantik 9,Menengah,Jabodetabek,2024-12-05
gocepat_cust_0010,gocepat,PT Rasa Nusantara 10,Menengah,Indonesia Timur,2024-05-22
gocepat_cust_0011,gocepat,CV Citra Sejahtera 11,Menengah,Sumatera,2024-06-25
gocepat_cust_0012,gocepat,PT Sinar Abadi 12,Menengah,Jabodetabek,2024-08-19
gocepat_cust_0013,gocepat,Toko Citra Sejahtera 13,Korporasi,Indonesia Timur,2024-09-19
gocepat_cust_0014,gocepat,PT Elektronik Ceria 14,UMKM,Sumatera,2024-09-24
gocepat_cust_0015,gocepat,PT Anugerah Prima 15,Menengah,Indonesia Timur,2024-08-16
gocepat_cust_0016,gocepat,Warung Pangan Sehat 16,Korporasi,Sumatera,2024-07-27
gocepat_cust_0017,gocepat,PT Mitra Dagang 17,Korporasi,Jabodetabek,2024-09-28
gocepat_cust_0018,gocepat,PT Elektronik Ceria 18,Menengah,Sumatera,2024-02-25
gocepat_cust_0019,gocepat,Toko Bumi Lestari 19,UMKM,Sumatera,2024-06-11
gocepat_cust_0020,gocepat,Toko Tekno Rimba 20,Korporasi,Sumatera,2024-06-21
gocepat_cust_0021,gocepat,Toko Maju Jaya 21,Menengah,Sumatera,2024-04-08
gocepat_cust_0022,gocepat,UD Citra Sejahtera 22,UMKM,Jabodetabek,2024-11-24
gocepat_cust_0023,gocepat,CV Fashion Lokal 23,Korporasi,Jawa,2024-04-09
gocepat_cust_0024,gocepat,UD Fashion Lokal 24,UMKM,Indonesia Timur,2024-08-23
gocepat_cust_0025,gocepat,UD Elektronik Ceria 25,Menengah,Sumatera,2024-05-17
gocepat_cust_0026,gocepat,PT Maju Jaya 26,Menengah,Sumatera,2024-04-21
gocepat_cust_0027,gocepat,Toko Bumi Lestari 27,Menengah,Jawa,2024-01-23
gocepat_cust_0028,gocepat,UD Maju Jaya 28,Korporasi,Jawa,2024-03-19
gocepat_cust_0029,gocepat,UD Indah Makmur 29,Menengah,Jawa,2024-01-12
gocepat_cust_0030,gocepat,Warung Mitra Dagang 30,Korporasi,Sumatera,2024-08-16
gocepat_cust_0031,gocepat,PT Fashion Lokal 31,UMKM,Sumatera,2024-11-18
gocepat_cust_0032,gocepat,Toko Berkah Mandiri 32,UMKM,Indonesia Timur,2024-11-15
gocepat_cust_0033,gocepat,UD Batik Cantik 33,UMKM,Sumatera,2024-07-04
gocepat_cust_0034,gocepat,Warung Rumah Nyaman 34,Menengah,Jabodetabek,2024-04-12
gocepat_cust_0035,gocepat,UD Rumah Nyaman 35,Menengah,Jawa,2024-07-02
gocepat_cust_0036,gocepat,CV Mitra Dagang 36,Menengah,Sumatera,2024-07-05
gocepat_cust_0037,gocepat,CV Pangan Sehat 37,Menengah,Indonesia Timur,2024-03-12
gocepat_cust_0038,gocepat,UD Nusantara Digital 38,Menengah,Jawa,2024-02-19
gocepat_cust_0039,gocepat,Warung Indah Makmur 39,Menengah,Jawa,2024-05-10
gocepat_cust_0040,gocepat,Toko Laut Biru 40,Korporasi,Sumatera,2024-06-17
gocepat_cust_0041,gocepat,CV Citra Sejahtera 41,UMKM,Indonesia Timur,2024-10-10
gocepat_cust_0042,gocepat,UD Anugerah Prima 42,Menengah,Jawa,2024-05-06
gocepat_cust_0043,gocepat,CV Sumber Rejeki 43,Korporasi,Jabodetabek,2024-12-06
gocepat_cust_0044,gocepat,Toko Laut Biru 44,Korporasi,Jabodetabek,2024-06-19
gocepat_cust_0045,gocepat,Warung Nusantara Digital 45,Menengah,Jawa,2024-09-05
gocepat_cust_0046,gocepat,UD Gunung Mas 46,UMKM,Jawa,2024-08-27
gocepat_cust_0047,gocepat,PT Elektronik Ceria 47,Menengah,Jawa,2024-06-16
gocepat_cust_0048,gocepat,Warung Gunung Mas 48,UMKM,Jabodetabek,2024-08-24
gocepat_cust_0049,gocepat,Toko Sinar Abadi 49,UMKM,Indonesia Timur,2024-04-03
gocepat_cust_0050,gocepat,CV Indah Makmur 50,Menengah,Jabodetabek,2024-12-19
gocepat_cust_0051,gocepat,Toko Tekno Rimba 51,UMKM,Sumatera,2024-02-20
gocepat_cust_0052,gocepat,PT Karya Bangsa 52,Korporasi,Sumatera,2024-06-03
gocepat_cust_0053,gocepat,UD Citra Sejahtera 53,Menengah,Indonesia Timur,2024-03-14
gocepat_cust_0054,gocepat,Toko Pangan Sehat 54,Menengah,Jabodetabek,2024-04-20
gocepat_cust_0055,gocepat,PT Mitra Dagang 55,Korporasi,Jawa,2024-03-01
gocepat_cust_0056,gocepat,Toko Karya Bangsa 56,UMKM,Jawa,2024-09-05
gocepat_cust_0057,gocepat,Toko Fashion Lokal 57,Menengah,Jawa,2024-09-19
gocepat_cust_0058,gocepat,PT Berkah Mandiri 58,Korporasi,Sumatera,2024-04-08
gocepat_cust_0059,gocepat,UD Bumi Lestari 59,UMKM,Sumatera,2024-08-11
gocepat_cust_0060,gocepat,PT Citra Sejahtera 60,Korporasi,Jawa,2024-04-23
gocepat_cust_0061,gocepat,Warung Tekno Rimba 61,Korporasi,Jabodetabek,2024-08-28
gocepat_cust_0062,gocepat,Warung Sumber Rejeki 62,Korporasi,Jawa,2024-02-06
gocepat_cust_0063,gocepat,Toko Nusantara Digital 63,Korporasi,Sumatera,2024-11-08
gocepat_cust_0064,gocepat,CV Nusantara Digital 64,Menengah,Indonesia Timur,2024-06-04
gocepat_cust_0065,gocepat,PT Anugerah Prima 65,Korporasi,Indonesia Timur,2024-07-24
gocepat_cust_0066,gocepat,UD Pangan Sehat 66,Menengah,Jabodetabek,2024-10-26
gocepat_cust_0067,gocepat,Warung Gunung Mas 67,UMKM,Indonesia Timur,2024-05-04
gocepat_cust_0068,gocepat,PT Nusantara Digital 68,Menengah,Jabodetabek,2024-06-15
