service_id,company_id,service_name,service_category,base_fare_idr
gocepat_prod_0001,gocepat,Panci Anti Lengket #1,Rumah Tangga,1218555
gocepat_prod_0002,gocepat,Dispenser Galon #2,Rumah Tangga,3347657
gocepat_prod_0003,gocepat,Beras Premium 5kg #3,F&B,1229982
gocepat_prod_0004,gocepat,Smartwatch Sehat #4,Elektronik,3668395
gocepat_prod_0005,gocepat,Keripik Singkong #5,F&B,442649
gocepat_prod_0006,gocepat,Batik Modern Pria #6,Fashion,4107872
gocepat_prod_0007,gocepat,Wadah Penyimpanan #7,Rumah Tangga,2229921
gocepat_prod_0008,gocepat,Kemeja Linen Wanita #8,Fashion,1113717
gocepat_prod_0009,gocepat,Kopi Gayo 250g #9,F&B,1689662
gocepat_prod_0010,gocepat,Sapu Serbaguna #10,Rumah Tangga,197581
gocepat_prod_0011,gocepat,Set Peralatan Makan #11,Rumah Tangga,3268047
gocepat_prod_0012,gocepat,Sneakers Lokal Run #12,Fashion,3132434
gocepat_prod_0013,gocepat,Minyak Goreng 2L #13,F&B,2489606
gocepat_prod_0014,gocepat,Hijab Premium #14,Fashion,3833420
gocepat_prod_0015,gocepat,Keripik Singkong #15,F&B,2932402
gocepat_prod_0016,gocepat,Laptop Kantor Pro #16,Elektronik,3818722
gocepat_prod_0017,gocepat,Vacuum Cleaner Mini #17,Rumah Tangga,3516511
gocepat_prod_0018,gocepat,Jaket Parasut #18,Fashion,3315498
gocepat_prod_0019,gocepat,Kipas Angin Meja #19,Rumah Tangga,3465580
gocepat_prod_0020,gocepat,Tas Ransel Kerja #20,Fashion,4098676
gocepat_prod_0021,gocepat,Sambal Matah Botol #21,F&B,2983994
gocepat_prod_0022,gocepat,Tas Ransel Kerja #22,Fashion,1286771
gocepat_prod_0023,gocepat,Snack Tempe Crispy #23,F&B,349376
gocepat_prod_0024,gocepat,Earphone Bluetooth Lokal #24,Elektronik,4408717
gocepat_prod_0025,gocepat,Laptop Kantor Pro #25,Elektronik,2522662
gocepat_prod_0026,gocepat,Earphone Bluetooth Lokal #26,Elektronik,2976710
gocepat_prod_0027,gocepat,Panci Anti Lengket #27,Rumah Tangga,4460919
gocepat_prod_0028,gocepat,Sambal Matah Botol #28,F&B,2618775
gocepat_prod_0029,gocepat,Kipas Angin Meja #29,Rumah Tangga,3123063
gocepat_prod_0030,gocepat,Beras Premium 5kg #30,F&B,2165360
gocepat_prod_0031,gocepat,Wadah Penyimpanan #31,Rumah Tangga,1200676
gocepat_prod_0032,gocepat,Wadah Penyimpanan #32,Rumah Tangga,2594763
gocepat_prod_0033,gocepat,Minyak Goreng 2L #33,F&B,4076364
gocepat_prod_0034,gocepat,Snack Tempe Crispy #34,F&B,72597
gocepat_prod_0035,gocepat,Dispenser Galon #35,Rumah Tangga,4475431
gocepat_prod_0036,gocepat,Kemeja Linen Wanita #36,Fashion,2992719
gocepat_prod_0037,gocepat,Hijab Premium #37,Fashion,2524918
gocepat_prod_0038,gocepat,Sapu Serbaguna #38,Rumah Tangga,2399051
gocepat_prod_0039,gocepat,Speaker Portable #39,Elektronik,3832441
gocepat_prod_0040,gocepat,Charger GaN 65W #40,Elektronik,4388181
