package_id,company_id,package_name,travel_category,package_price_idr
jelajahid_prod_0001,jelajahid,Celana Chino #1,Fashion,2202874
jelajahid_prod_0002,jelajahid,Dispenser Galon #2,Rumah Tangga,4233293
jelajahid_prod_0003,jelajahid,Smartwatch Sehat #3,Elektronik,472318
jelajahid_prod_0004,jelajahid,Panci Anti Lengket #4,Rumah Tangga,2581785
jelajahid_prod_0005,jelajahid,Keripik Singkong #5,F&B,1852752
jelajahid_prod_0006,jelajahid,Keripik Singkong #6,F&B,3593171
jelajahid_prod_0007,jelajahid,Tablet Belajar #7,Elektronik,4199666
jelajahid_prod_0008,jelajahid,Kemeja Linen Wanita #8,Fashion,1266712
jelajahid_prod_0009,jelajahid,Keripik Singkong #9,F&B,3560045
jelajahid_prod_0010,jelajahid,Dispenser Galon #10,Rumah Tangga,3561631
jelajahid_prod_0011,jelajahid,Minyak Goreng 2L #11,F&B,983148
jelajahid_prod_0012,jelajahid,Sandal Kulit #12,Fashion,1027664
jelajahid_prod_0013,jelajahid,Kopi Gayo 250g #13,F&B,788284
jelajahid_prod_0014,jelajahid,Jaket Parasut #14,Fashion,2582822
jelajahid_prod_0015,jelajahid,Keripik Singkong #15,F&B,3704965
jelajahid_prod_0016,jelajahid,Sneakers Lokal Run #16,Fashion,3425251
jelajahid_prod_0017,jelajahid,Kipas Angin Meja #17,Rumah Tangga,3783663
jelajahid_prod_0018,jelajahid,Speaker Portable #18,Elektronik,3778551
jelajahid_prod_0019,jelajahid,Powerbank 20.000mAh #19,Elektronik,1414905
jelajahid_prod_0020,jelajahid,Sapu Serbaguna #20,Rumah Tangga,3079459
jelajahid_prod_0021,jelajahid,Snack Tempe Crispy #21,F&B,3808977
jelajahid_prod_0022,jelajahid,Susu UHT Lokal #22,F&B,1909627
jelajahid_prod_0023,jelajahid,Smartwatch Sehat #23,Elektronik,3553930
jelajahid_prod_0024,jelajahid,Sambal Matah Botol #24,F&B,1130327
jelajahid_prod_0025,jelajahid,Sandal Kulit #25,Fashion,935701
jelajahid_prod_0026,jelajahid,Panci Anti Lengket #26,Rumah Tangga,4469095
jelajahid_prod_0027,jelajahid,Snack Tempe Crispy #27,F&B,3712179
jelajahid_prod_0028,jelajahid,Hijab Premium #28,Fashion,4431030
jelajahid_prod_0029,jelajahid,Powerbank 20.000mAh #29,Elektronik,846448
jelajahid_prod_0030,jelajahid,Kopi Gayo 250g #30,F&B,2444919
jelajahid_prod_0031,jelajahid,Sandal Kulit #31,Fashion,1443466
jelajahid_prod_0032,jelajahid,Sambal Matah Botol #32,F&B,1142732
jelajahid_prod_0033,jelajahid,Kipas Angin Meja #33,Rumah Tangga,3335175
jelajahid_prod_0034,jelajahid,Batik Modern Pria #34,Fashion,739767
jelajahid_prod_0035,jelajahid,Kemeja Linen Wanita #35,Fashion,3236040
