traveler_id,company_id,traveler_name,traveler_segment,origin_region,member_since
jelajahid_cust_0001,jelajahid,CV Berkah Mandiri 1,UMKM,Indonesia Timur,2024-05-11
jelajahid_cust_0002,jelajahid,PT Rumah Nyaman 2,Menengah,Sumatera,2024-03-08
jelajahid_cust_0003,jelajahid,Toko Pangan Sehat 3,Menengah,Jawa,2024-10-18
jelajahid_cust_0004,jelajahid,PT Bumi Lestari 4,Korporasi,Jabodetabek,2024-02-28
jelajahid_cust_0005,jelajahid,CV Karya Bangsa 5,Korporasi,Indonesia Timur,2024-12-19
jelajahid_cust_0006,jelajahid,CV Elektronik Ceria 6,Menengah,Sumatera,2024-11-11
jelajahid_cust_0007,jelajahid,PT Rasa Nusantara 7,Menengah,Jawa,2024-04-07
jelajahid_cust_0008,jelajahid,UD Elektronik Ceria 8,Menengah,Indonesia Timur,2024-03-10
jelajahid_cust_0009,jelajahid,Toko Bumi Lestari 9,Menengah,Indonesia Timur,2024-12-12
jelajahid_cust_0010,jelajahid,PT Rasa Nusantara 10,UMKM,Jawa,2024-03-27
jelajahid_cust_0011,jelajahid,UD Nusantara Digital 11,Menengah,Jabodetabek,2024-11-22
jelajahid_cust_0012,jelajahid,PT Batik Cantik 12,Korporasi,Jabodetabek,2024-03-15
jelajahid_cust_0013,jelajahid,UD Karya Bangsa 13,UMKM,Sumatera,2024-01-04
jelajahid_cust_0014,jelajahid,UD Pangan Sehat 14,Korporasi,Jabodetabek,2024-05-20
jelajahid_cust_0015,jelajahid,Warung Rumah Nyaman 15,Menengah,Jabodetabek,2024-08-14
jelajahid_cust_0016,jelajahid,PT Batik Cantik 16,Menengah,Indonesia Timur,2024-12-05
jelajahid_cust_0017,jelajahid,CV Sumber Rejeki 17,Korporasi,Sumatera,2024-07-11
jelajahid_cust_0018,jelajahid,CV Tekno Rimba 18,Menengah,Jabodetabek,2024-06-06
jelajahid_cust_0019,jelajahid,Warung Fashion Lokal 19,UMKM,Indonesia Timur,2024-11-05
jelajahid_cust_0020,jelajahid,Toko Citra Sejahtera 20,Korporasi,Sumatera,2024-02-10
jelajahid_cust_0021,jelajahid,PT Laut Biru 21,UMKM,Sumatera,2024-05-24
jelajahid_cust_0022,jelajahid,UD Indah Makmur 22,Korporasi,Sumatera,2024-01-27
jelajahid_cust_0023,jelajahid,PT Fashion Lokal 23,UMKM,Indonesia Timur,2024-07-12
jelajahid_cust_0024,jelajahid,UD Elektronik Ceria 24,Korporasi,Indonesia Timur,2024-04-14
jelajahid_cust_0025,jelajahid,UD Sinar Abadi 25,Menengah,Indonesia Timur,2024-01-25
jelajahid_cust_0026,jelajahid,Warung Sumber Rejeki 26,Menengah,Sumatera,2024-02-27
jelajahid_cust_0027,jelajahid,Warung Sinar Abadi 27,UMKM,Sumatera,2024-05-01
jelajahid_cust_0028,jelajahid,CV Karya Bangsa 28,UMKM,Jawa,2024-07-08
jelajahid_cust_0029,jelajahid,CV Batik Cantik 29,Korporasi,Jawa,2024-03-11
jelajahid_cust_0030,jelajahid,PT Gunung Mas 30,Menengah,Sumatera,2024-03-04
jelajahid_cust_0031,jelajahid,Warung Karya Bangsa 31,UMKM,Sumatera,2024-04-28
jelajahid_cust_0032,jelajahid,CV Rumah Nyaman 32,Korporasi,Jawa,2024-09-13
jelajahid_cust_0033,jelajahid,PT Rasa Nusantara 33,UMKM,Indonesia Timur,2024-05-15
jelajahid_cust_0034,jelajahid,Toko Berkah Mandiri 34,UMKM,Indonesia Timur,2024-07-25
jelajahid_cust_0035,jelajahid,PT Sinar Abadi 35,Korporasi,Indonesia Timur,2024-10-15
jelajahid_cust_0036,jelajahid,CV Batik Cantik 36,Menengah,Jabodetabek,2024-06-19
jelajahid_cust_0037,jelajahid,Toko Citra Sejahtera 37,Korporasi,Indonesia Timur,2024-03-12
jelajahid_cust_0038,jelajahid,CV Mitra Dagang 38,Korporasi,Sumatera,2024-12-13
jelajahid_cust_0039,jelajahid,CV Elektronik Ceria 39,Menengah,Jabodetabek,2024-07-23
jelajahid_cust_0040,jelajahid,UD Batik Cantik 40,Menengah,Indonesia Timur,2024-12-20
jelajahid_cust_0041,jelajahid,CV Pangan Sehat 41,Menengah,Jabodetabek,2024-07-12
jelajahid_cust_0042,jelajahid,PT Laut Biru 42,Korporasi,Sumatera,2024-10-17
jelajahid_cust_0043,jelajahid,UD Berkah Mandiri 43,Korporasi,Jawa,2024-10-21
jelajahid_cust_0044,jelajahid,PT Rasa Nusantara 44,UMKM,Jawa,2024-02-02
jelajahid_cust_0045,jelajahid,Warung Elektronik Ceria 45,Menengah,Jawa,2024-05-24
jelajahid_cust_0046,jelajahid,UD Laut Biru 46,Menengah,Jabodetabek,2024-01-06
jelajahid_cust_0047,jelajahid,CV Pangan Sehat 47,Menengah,Jabodetabek,2024-02-08
jelajahid_cust_0048,jelajahid,Toko Laut Biru 48,Menengah,Indonesia Timur,2024-12-18
