booking_id,company_id,traveler_id,travel_date,booking_status,booking_value_idr
jelajahid_ord_00003,jelajahid,jelajahid_cust_0214,2025-09-01,completed,28146877
jelajahid_ord_00014,jelajahid,jelajahid_cust_0176,2025-09-01,completed,19785340
jelajahid_ord_00041,jelajahid,jelajahid_cust_0229,2025-09-01,completed,4233293
jelajahid_ord_00047,jelajahid,jelajahid_cust_0228,2025-09-01,completed,8749662
jelajahid_ord_00121,jelajahid,jelajahid_cust_0257,2025-09-01,completed,22639512
jelajahid_ord_00145,jelajahid,jelajahid_cust_0103,2025-09-01,completed,15923522
jelajahid_ord_00164,jelajahid,jelajahid_cust_0173,2025-09-01,completed,16933172
jelajahid_ord_00177,jelajahid,jelajahid_cust_0003,2025-09-01,cancelled,2271876
jelajahid_ord_00219,jelajahid,jelajahid_cust_0106,2025-09-01,completed,3236040
jelajahid_ord_00221,jelajahid,jelajahid_cust_0168,2025-09-01,completed,3742804
jelajahid_ord_00236,jelajahid,jelajahid_cust_0321,2025-09-01,completed,5773864
jelajahid_ord_00016,jelajahid,jelajahid_cust_0205,2025-09-02,cancelled,3222703
jelajahid_ord_00088,jelajahid,jelajahid_cust_0237,2025-09-02,cancelled,1135099
jelajahid_ord_00137,jelajahid,jelajahid_cust_0196,2025-09-02,completed,21962064
jelajahid_ord_00159,jelajahid,jelajahid_cust_0011,2025-09-02,completed,28972894
jelajahid_ord_00183,jelajahid,jelajahid_cust_0234,2025-09-02,completed,1576568
jelajahid_ord_00248,jelajahid,jelajahid_cust_0239,2025-09-02,completed,20661249
jelajahid_ord_00024,jelajahid,jelajahid_cust_0020,2025-09-03,completed,7409930
jelajahid_ord_00040,jelajahid,jelajahid_cust_0026,2025-09-03,completed,23679501
jelajahid_ord_00054,jelajahid,jelajahid_cust_0039,2025-09-03,completed,17481406
jelajahid_ord_00064,jelajahid,jelajahid_cust_0249,2025-09-03,completed,25035542
jelajahid_ord_00066,jelajahid,jelajahid_cust_0250,2025-09-03,completed,13158661
jelajahid_ord_00111,jelajahid,jelajahid_cust_0229,2025-09-03,completed,1852752
jelajahid_ord_00112,jelajahid,jelajahid_cust_0285,2025-09-03,completed,13582936
jelajahid_ord_00122,jelajahid,jelajahid_cust_0336,2025-09-03,cancelled,1925450
jelajahid_ord_00125,jelajahid,jelajahid_cust_0188,2025-09-03,cancelled,1392200
jelajahid_ord_00129,jelajahid,jelajahid_cust_0128,2025-09-03,completed,13340700
jelajahid_ord_00144,jelajahid,jelajahid_cust_0276,2025-09-03,completed,2055328
jelajahid_ord_00201,jelajahid,jelajahid_cust_0118,2025-09-03,completed,11426931
jelajahid_ord_00010,jelajahid,jelajahid_cust_0339,2025-09-04,cancelled,2057718
jelajahid_ord_00021,jelajahid,jelajahid_cust_0095,2025-09-04,cancelled,1460662
jelajahid_ord_00057,jelajahid,jelajahid_cust_0035,2025-09-04,completed,15543028
jelajahid_ord_00070,jelajahid,jelajahid_cust_0090,2025-09-04,completed,5291368
jelajahid_ord_00114,jelajahid,jelajahid_cust_0349,2025-09-04,completed,20718612
jelajahid_ord_00181,jelajahid,jelajahid_cust_0291,2025-09-04,cancelled,513788
jelajahid_ord_00192,jelajahid,jelajahid_cust_0174,2025-09-04,completed,22723180
jelajahid_ord_00228,jelajahid,jelajahid_cust_0169,2025-09-04,completed,2010812
jelajahid_ord_00245,jelajahid,jelajahid_cust_0209,2025-09-04,completed,6517165
jelajahid_ord_00026,jelajahid,jelajahid_cust_0017,2025-09-05,completed,5558256
jelajahid_ord_00206,jelajahid,jelajahid_cust_0321,2025-09-05,completed,30363739
jelajahid_ord_00217,jelajahid,jelajahid_cust_0211,2025-09-05,completed,26503031
jelajahid_ord_00220,jelajahid,jelajahid_cust_0096,2025-09-05,completed,6201800
jelajahid_ord_00223,jelajahid,jelajahid_cust_0041,2025-09-05,cancelled,1714040
jelajahid_ord_00232,jelajahid,jelajahid_cust_0233,2025-09-05,completed,788284
jelajahid_ord_00004,jelajahid,jelajahid_cust_0278,2025-09-06,cancelled,4237148
jelajahid_ord_00019,jelajahid,jelajahid_cust_0072,2025-09-06,completed,3808977
jelajahid_ord_00027,jelajahid,jelajahid_cust_0119,2025-09-06,completed,11426931
jelajahid_ord_00049,jelajahid,jelajahid_cust_0298,2025-09-06,completed,14857699
jelajahid_ord_00060,jelajahid,jelajahid_cust_0224,2025-09-06,cancelled,2132358
jelajahid_ord_00074,jelajahid,jelajahid_cust_0200,2025-09-06,completed,15229672
jelajahid_ord_00094,jelajahid,jelajahid_cust_0111,2025-09-06,completed,19475028
