stay_line_id,company_id,booking_id,package_id,guests,line_amount_idr
jelajahid_item_00001,jelajahid,jelajahid_ord_00001,jelajahid_prod_0009,4,14240180
jelajahid_item_00002,jelajahid,jelajahid_ord_00001,jelajahid_prod_0018,4,15114204
jelajahid_item_00003,jelajahid,jelajahid_ord_00002,jelajahid_prod_0003,3,212543
jelajahid_item_00004,jelajahid,jelajahid_ord_00002,jelajahid_prod_0018,2,1133565
jelajahid_item_00005,jelajahid,jelajahid_ord_00002,jelajahid_prod_0004,1,387268
jelajahid_item_00006,jelajahid,jelajahid_ord_00003,jelajahid_prod_0035,4,12944160
jelajahid_item_00007,jelajahid,jelajahid_ord_00003,jelajahid_prod_0022,1,1909627
jelajahid_item_00008,jelajahid,jelajahid_ord_00003,jelajahid_prod_0028,3,13293090
jelajahid_item_00009,jelajahid,jelajahid_ord_00004,jelajahid_prod_0033,3,1500829
jelajahid_item_00010,jelajahid,jelajahid_ord_00004,jelajahid_prod_0031,1,216520
jelajahid_item_00011,jelajahid,jelajahid_ord_00004,jelajahid_prod_0007,4,2519800
jelajahid_item_00012,jelajahid,jelajahid_ord_00005,jelajahid_prod_0002,3,1904982
jelajahid_item_00013,jelajahid,jelajahid_ord_00005,jelajahid_prod_0016,4,2055151
jelajahid_item_00014,jelajahid,jelajahid_ord_00006,jelajahid_prod_0024,3,3390981
jelajahid_item_00015,jelajahid,jelajahid_ord_00007,jelajahid_prod_0014,4,10331288
jelajahid_item_00016,jelajahid,jelajahid_ord_00007,jelajahid_prod_0018,2,7557102
jelajahid_item_00017,jelajahid,jelajahid_ord_00008,jelajahid_prod_0008,3,3800136
jelajahid_item_00018,jelajahid,jelajahid_ord_00009,jelajahid_prod_0010,4,14246524
jelajahid_item_00019,jelajahid,jelajahid_ord_00010,jelajahid_prod_0024,2,339098
jelajahid_item_00020,jelajahid,jelajahid_ord_00010,jelajahid_prod_0004,4,1549071
jelajahid_item_00021,jelajahid,jelajahid_ord_00010,jelajahid_prod_0024,1,169549
jelajahid_item_00022,jelajahid,jelajahid_ord_00011,jelajahid_prod_0013,2,1576568
jelajahid_item_00023,jelajahid,jelajahid_ord_00011,jelajahid_prod_0025,1,935701
jelajahid_item_00024,jelajahid,jelajahid_ord_00011,jelajahid_prod_0022,4,7638508
jelajahid_item_00025,jelajahid,jelajahid_ord_00012,jelajahid_prod_0006,1,3593171
jelajahid_item_00026,jelajahid,jelajahid_ord_00012,jelajahid_prod_0025,2,1871402
jelajahid_item_00027,jelajahid,jelajahid_ord_00012,jelajahid_prod_0008,4,5066848
jelajahid_item_00028,jelajahid,jelajahid_ord_00013,jelajahid_prod_0028,1,4431030
jelajahid_item_00029,jelajahid,jelajahid_ord_00014,jelajahid_prod_0006,2,7186342
jelajahid_item_00030,jelajahid,jelajahid_ord_00014,jelajahid_prod_0007,3,12598998
jelajahid_item_00031,jelajahid,jelajahid_ord_00015,jelajahid_prod_0032,1,171410
jelajahid_item_00032,jelajahid,jelajahid_ord_00016,jelajahid_prod_0022,2,572888
jelajahid_item_00033,jelajahid,jelajahid_ord_00016,jelajahid_prod_0016,1,513788
jelajahid_item_00034,jelajahid,jelajahid_ord_00016,jelajahid_prod_0009,4,2136027
jelajahid_item_00035,jelajahid,jelajahid_ord_00017,jelajahid_prod_0021,3,11426931
jelajahid_item_00036,jelajahid,jelajahid_ord_00017,jelajahid_prod_0013,1,788284
jelajahid_item_00037,jelajahid,jelajahid_ord_00017,jelajahid_prod_0016,1,3425251
jelajahid_item_00038,jelajahid,jelajahid_ord_00018,jelajahid_prod_0017,4,2270198
jelajahid_item_00039,jelajahid,jelajahid_ord_00018,jelajahid_prod_0005,2,555826
jelajahid_item_00040,jelajahid,jelajahid_ord_00018,jelajahid_prod_0024,3,508647
jelajahid_item_00041,jelajahid,jelajahid_ord_00019,jelajahid_prod_0021,1,3808977
jelajahid_item_00042,jelajahid,jelajahid_ord_00020,jelajahid_prod_0032,4,4570928
jelajahid_item_00043,jelajahid,jelajahid_ord_00020,jelajahid_prod_0021,2,7617954
jelajahid_item_00044,jelajahid,jelajahid_ord_00021,jelajahid_prod_0002,1,634994
jelajahid_item_00045,jelajahid,jelajahid_ord_00021,jelajahid_prod_0024,4,678196
jelajahid_item_00046,jelajahid,jelajahid_ord_00021,jelajahid_prod_0011,1,147472
jelajahid_item_00047,jelajahid,jelajahid_ord_00022,jelajahid_prod_0031,3,4330398
