line_id,company_id,order_id,sku,units,line_gmv_idr
tokoraya_item_00001,tokoraya,tokoraya_ord_00001,tokoraya_prod_0015,3,309552
tokoraya_item_00002,tokoraya,tokoraya_ord_00001,tokoraya_prod_0020,2,6370172
tokoraya_item_00003,tokoraya,tokoraya_ord_00002,tokoraya_prod_0031,3,10073034
tokoraya_item_00004,tokoraya,tokoraya_ord_00003,tokoraya_prod_0002,3,1179561
tokoraya_item_00005,tokoraya,tokoraya_ord_00003,tokoraya_prod_0030,1,621893
tokoraya_item_00006,tokoraya,tokoraya_ord_00004,tokoraya_prod_0024,3,12717852
tokoraya_item_00007,tokoraya,tokoraya_ord_00005,tokoraya_prod_0002,4,1572748
tokoraya_item_00008,tokoraya,tokoraya_ord_00005,tokoraya_prod_0025,4,11425856
tokoraya_item_00009,tokoraya,tokoraya_ord_00006,tokoraya_prod_0032,1,489237
tokoraya_item_00010,tokoraya,tokoraya_ord_00006,tokoraya_prod_0048,3,7787097
tokoraya_item_00011,tokoraya,tokoraya_ord_00006,tokoraya_prod_0012,4,9297204
tokoraya_item_00012,tokoraya,tokoraya_ord_00007,tokoraya_prod_0036,1,355864
tokoraya_item_00013,tokoraya,tokoraya_ord_00007,tokoraya_prod_0021,2,8526752
tokoraya_item_00014,tokoraya,tokoraya_ord_00008,tokoraya_prod_0039,4,10626624
tokoraya_item_00015,tokoraya,tokoraya_ord_00009,tokoraya_prod_0049,4,483317
tokoraya_item_00016,tokoraya,tokoraya_ord_00009,tokoraya_prod_0015,2,30955
tokoraya_item_00017,tokoraya,tokoraya_ord_00010,tokoraya_prod_0017,3,6057327
tokoraya_item_00018,tokoraya,tokoraya_ord_00010,tokoraya_prod_0041,4,8492048
tokoraya_item_00019,tokoraya,tokoraya_ord_00010,tokoraya_prod_0016,4,1509428
tokoraya_item_00020,tokoraya,tokoraya_ord_00011,tokoraya_prod_0003,3,850836
tokoraya_item_00021,tokoraya,tokoraya_ord_00011,tokoraya_prod_0019,4,7103528
tokoraya_item_00022,tokoraya,tokoraya_ord_00012,tokoraya_prod_0020,4,12740344
tokoraya_item_00023,tokoraya,tokoraya_ord_00012,tokoraya_prod_0025,1,2856464
tokoraya_item_00024,tokoraya,tokoraya_ord_00012,tokoraya_prod_0008,3,3820176
tokoraya_item_00025,tokoraya,tokoraya_ord_00013,tokoraya_prod_0047,2,1219118
tokoraya_item_00026,tokoraya,tokoraya_ord_00014,tokoraya_prod_0010,2,5676806
tokoraya_item_00027,tokoraya,tokoraya_ord_00014,tokoraya_prod_0031,2,6715356
tokoraya_item_00028,tokoraya,tokoraya_ord_00015,tokoraya_prod_0013,1,485727
tokoraya_item_00029,tokoraya,tokoraya_ord_00015,tokoraya_prod_0040,2,135542
tokoraya_item_00030,tokoraya,tokoraya_ord_00015,tokoraya_prod_0030,3,279852
tokoraya_item_00031,tokoraya,tokoraya_ord_00016,tokoraya_prod_0031,3,10073034
tokoraya_item_00032,tokoraya,tokoraya_ord_00016,tokoraya_prod_0039,1,2656656
tokoraya_item_00033,tokoraya,tokoraya_ord_00016,tokoraya_prod_0028,4,3056604
tokoraya_item_00034,tokoraya,tokoraya_ord_00017,tokoraya_prod_0024,1,4239284
tokoraya_item_00035,tokoraya,tokoraya_ord_00017,tokoraya_prod_0026,2,7653192
tokoraya_item_00036,tokoraya,tokoraya_ord_00017,tokoraya_prod_0012,4,9297204
tokoraya_item_00037,tokoraya,tokoraya_ord_00018,tokoraya_prod_0040,3,203313
