order_id,company_id,seller_id,order_date,fulfillment_status,gmv_idr
tokoraya_ord_00038,tokoraya,tokoraya_cust_0351,2025-09-01,completed,5423608
tokoraya_ord_00062,tokoraya,tokoraya_cust_0269,2025-09-01,cancelled,597809
tokoraya_ord_00172,tokoraya,tokoraya_cust_0476,2025-09-01,cancelled,269920
tokoraya_ord_00193,tokoraya,tokoraya_cust_0481,2025-09-01,cancelled,838609
tokoraya_ord_00212,tokoraya,tokoraya_cust_0114,2025-09-01,cancelled,1792583
tokoraya_ord_00233,tokoraya,tokoraya_cust_0491,2025-09-01,completed,7913974
tokoraya_ord_00272,tokoraya,tokoraya_cust_0063,2025-09-01,completed,4038218
tokoraya_ord_00333,tokoraya,tokoraya_cust_0200,2025-09-01,completed,621893
tokoraya_ord_00376,tokoraya,tokoraya_cust_0413,2025-09-01,completed,471699
tokoraya_ord_00025,tokoraya,tokoraya_cust_0284,2025-09-02,completed,14826076
tokoraya_ord_00080,tokoraya,tokoraya_cust_0194,2025-09-02,completed,14391636
tokoraya_ord_00081,tokoraya,tokoraya_cust_0121,2025-09-02,completed,16977543
tokoraya_ord_00143,tokoraya,tokoraya_cust_0249,2025-09-02,cancelled,1280211
tokoraya_ord_00148,tokoraya,tokoraya_cust_0179,2025-09-02,completed,2802221
tokoraya_ord_00173,tokoraya,tokoraya_cust_0343,2025-09-02,completed,5067354
tokoraya_ord_00236,tokoraya,tokoraya_cust_0230,2025-09-02,cancelled,1620505
tokoraya_ord_00243,tokoraya,tokoraya_cust_0142,2025-09-02,completed,2504295
tokoraya_ord_00281,tokoraya,tokoraya_cust_0318,2025-09-02,completed,3357678
tokoraya_ord_00315,tokoraya,tokoraya_cust_0409,2025-09-02,completed,3435073
tokoraya_ord_00321,tokoraya,tokoraya_cust_0351,2025-09-02,cancelled,1629779
tokoraya_ord_00330,tokoraya,tokoraya_cust_0282,2025-09-02,cancelled,2577926
tokoraya_ord_00332,tokoraya,tokoraya_cust_0483,2025-09-02,completed,5870429
tokoraya_ord_00359,tokoraya,tokoraya_cust_0127,2025-09-02,cancelled,908599
tokoraya_ord_00385,tokoraya,tokoraya_cust_0462,2025-09-02,completed,14404492
tokoraya_ord_00012,tokoraya,tokoraya_cust_0331,2025-09-03,completed,19416984
tokoraya_ord_00013,tokoraya,tokoraya_cust_0335,2025-09-03,completed,1219118
tokoraya_ord_00091,tokoraya,tokoraya_cust_0009,2025-09-03,completed,10626624
tokoraya_ord_00109,tokoraya,tokoraya_cust_0045,2025-09-03,completed,15883201
tokoraya_ord_00195,tokoraya,tokoraya_cust_0474,2025-09-03,completed,9873539
tokoraya_ord_00267,tokoraya,tokoraya_cust_0219,2025-09-03,completed,28495027
tokoraya_ord_00305,tokoraya,tokoraya_cust_0098,2025-09-03,completed,9303856
tokoraya_ord_00317,tokoraya,tokoraya_cust_0469,2025-09-03,completed,6972903
tokoraya_ord_00336,tokoraya,tokoraya_cust_0485,2025-09-03,cancelled,42542
tokoraya_ord_00340,tokoraya,tokoraya_cust_0018,2025-09-03,completed,1450316
tokoraya_ord_00356,tokoraya,tokoraya_cust_0465,2025-09-03,completed,13135740
tokoraya_ord_00377,tokoraya,tokoraya_cust_0498,2025-09-03,completed,2412296
tokoraya_ord_00018,tokoraya,tokoraya_cust_0332,2025-09-04,cancelled,486333
tokoraya_ord_00066,tokoraya,tokoraya_cust_0148,2025-09-04,completed,10693496
tokoraya_ord_00095,tokoraya,tokoraya_cust_0007,2025-09-04,completed,9624840
tokoraya_ord_00132,tokoraya,tokoraya_cust_0428,2025-09-04,completed,9624840
tokoraya_ord_00135,tokoraya,tokoraya_cust_0189,2025-09-04,completed,6212406
tokoraya_ord_00186,tokoraya,tokoraya_cust_0028,2025-09-04,completed,21138279
tokoraya_ord_00221,tokoraya,tokoraya_cust_0418,2025-09-04,completed,16389592
tokoraya_ord_00227,tokoraya,tokoraya_cust_0005,2025-09-04,completed,6212406
tokoraya_ord_00230,tokoraya,tokoraya_cust_0366,2025-09-04,completed,9920073
tokoraya_ord_00277,tokoraya,tokoraya_cust_0133,2025-09-04,completed,1467711
tokoraya_ord_00284,tokoraya,tokoraya_cust_0280,2025-09-04,cancelled,1427831
tokoraya_ord_00312,tokoraya,tokoraya_cust_0351,2025-09-04,completed,15301646
tokoraya_ord_00345,tokoraya,tokoraya_cust_0426,2025-09-04,cancelled,767132
tokoraya_ord_00396,tokoraya,tokoraya_cust_0141,2025-09-04,completed,13364445
tokoraya_ord_00024,tokoraya,tokoraya_cust_0378,2025-09-05,completed,393187
tokoraya_ord_00030,tokoraya,tokoraya_cust_0342,2025-09-05,completed,2755407
tokoraya_ord_00037,tokoraya,tokoraya_cust_0233,2025-09-05,completed,3131782
tokoraya_ord_00049,tokoraya,tokoraya_cust_0036,2025-09-05,completed,15841500
tokoraya_ord_00053,tokoraya,tokoraya_cust_0464,2025-09-05,completed,14131267
tokoraya_ord_00128,tokoraya,tokoraya_cust_0368,2025-09-05,completed,7499376
tokoraya_ord_00168,tokoraya,tokoraya_cust_0441,2025-09-05,completed,7218630
tokoraya_ord_00223,tokoraya,tokoraya_cust_0117,2025-09-05,completed,3256251
tokoraya_ord_00324,tokoraya,tokoraya_cust_0128,2025-09-05,completed,1067592
