seller_id,company_id,seller_name,seller_tier,region,onboarded_at
tokoraya_cust_0001,tokoraya,PT Pangan Sehat 1,Menengah,Sumatera,2024-11-19
tokoraya_cust_0002,tokoraya,CV Elektronik Ceria 2,Menengah,Jawa,2024-11-14
tokoraya_cust_0003,tokoraya,UD Batik Cantik 3,Korporasi,Sumatera,2024-03-15
tokoraya_cust_0004,tokoraya,Toko Nusantara Digital 4,Menengah,Jabodetabek,2024-11-02
tokoraya_cust_0005,tokoraya,Toko Nusantara Digital 5,Korporasi,Jawa,2024-03-22
tokoraya_cust_0006,tokoraya,CV Sumber Rejeki 6,UMKM,Jabodetabek,2024-06-23
tokoraya_cust_0007,tokoraya,CV Batik Cantik 7,Korporasi,Jabodetabek,2024-07-17
tokoraya_cust_0008,tokoraya,Toko Citra Sejahtera 8,Korporasi,Jabodetabek,2024-09-25
tokoraya_cust_0009,tokoraya,UD Laut Biru 9,Korporasi,Jawa,2024-01-19
tokoraya_cust_0010,tokoraya,Warung Sinar Abadi 10,Korporasi,Indonesia Timur,2024-12-13
tokoraya_cust_0011,tokoraya,UD Elektronik Ceria 11,Korporasi,Jabodetabek,2024-05-14
tokoraya_cust_0012,tokoraya,UD Berkah Mandiri 12,UMKM,Jabodetabek,2024-12-08
tokoraya_cust_0013,tokoraya,Toko Rumah Nyaman 13,UMKM,Sumatera,2024-02-28
tokoraya_cust_0014,tokoraya,CV Gunung Mas 14,Menengah,Jawa,2024-05-17
tokoraya_cust_0015,tokoraya,Warung Elektronik Ceria 15,Menengah,Jawa,2024-11-20
tokoraya_cust_0016,tokoraya,UD Anugerah Prima 16,Menengah,Jawa,2024-04-03
tokoraya_cust_0017,tokoraya,Warung Sinar Abadi 17,UMKM,Indonesia Timur,2024-02-14
tokoraya_cust_0018,tokoraya,CV Sumber Rejeki 18,Korporasi,Indonesia Timur,2024-09-20
tokoraya_cust_0019,tokoraya,UD Elektronik Ceria 19,Menengah,Jabodetabek,2024-05-06
tokoraya_cust_0020,tokoraya,Warung Mitra Dagang 20,UMKM,Jawa,2024-05-04
tokoraya_cust_0021,tokoraya,Warung Citra Sejahtera 21,UMKM,Jabodetabek,2024-08-25
tokoraya_cust_0022,tokoraya,UD Gunung Mas 22,Menengah,Sumatera,2024-03-02
tokoraya_cust_0023,tokoraya,CV Fashion Lokal 23,Korporasi,Jawa,2024-05-01
tokoraya_cust_0024,tokoraya,Toko Bumi Lestari 24,UMKM,Sumatera,2024-02-05
tokoraya_cust_0025,tokoraya,CV Anugerah Prima 25,Menengah,Jawa,2024-06-20
tokoraya_cust_0026,tokoraya,Toko Tekno Rimba 26,Korporasi,Indonesia Timur,2024-06-18
tokoraya_cust_0027,tokoraya,UD Citra Sejahtera 27,Korporasi,Jabodetabek,2024-04-09
tokoraya_cust_0028,tokoraya,CV Nusantara Digital 28,UMKM,Jabodetabek,2024-04-04
tokoraya_cust_0029,tokoraya,UD Rumah Nyaman 29,Korporasi,Sumatera,2024-06-11
tokoraya_cust_0030,tokoraya,Toko Rasa Nusantara 30,Menengah,Indonesia Timur,2024-02-25
tokoraya_cust_0031,tokoraya,Warung Citra Sejahtera 31,Menengah,Indonesia Timur,2024-02-18
tokoraya_cust_0032,tokoraya,Warung Rasa Nusantara 32,Menengah,Jawa,2024-12-14
tokoraya_cust_0033,tokoraya,Toko Laut Biru 33,Korporasi,Sumatera,2024-01-05
tokoraya_cust_0034,tokoraya,Warung Elektronik Ceria 34,UMKM,Indonesia Timur,2024-10-18
tokoraya_cust_0035,tokoraya,UD Anugerah Prima 35,Menengah,Sumatera,2024-06-25
tokoraya_cust_0036,tokoraya,PT Mitra Dagang 36,Menengah,Indonesia Timur,2024-04-24
tokoraya_cust_0037,tokoraya,Warung Elektronik Ceria 37,Korporasi,Jabodetabek,2024-08-21
tokoraya_cust_0038,tokoraya,PT Nusantara Digital 38,UMKM,Jawa,2024-02-08
tokoraya_cust_0039,tokoraya,UD Karya Bangsa 39,Menengah,Jawa,2024-07-21
tokoraya_cust_0040,tokoraya,Toko Indah Makmur 40,Menengah,Jabodetabek,2024-07-13
tokoraya_cust_0041,tokoraya,Toko Bumi Lestari 41,Korporasi,Jawa,2024-04-05
tokoraya_cust_0042,tokoraya,PT Nusantara Digital 42,Menengah,Sumatera,2024-08-13
tokoraya_cust_0043,tokoraya,Toko Pangan Sehat 43,UMKM,Jabodetabek,2024-01-25
tokoraya_cust_0044,tokoraya,CV Gunung Mas 44,UMKM,Jabodetabek,2024-01-11
tokoraya_cust_0045,tokoraya,UD Karya Bangsa 45,Korporasi,Sumatera,2024-12-22
tokoraya_cust_0046,tokoraya,PT Maju Jaya 46,UMKM,Sumatera,2024-07-05
tokoraya_cust_0047,tokoraya,Toko Fashion Lokal 47,Korporasi,Jabodetabek,2024-09-19
tokoraya_cust_0048,tokoraya,Warung Pangan Sehat 48,Menengah,Jabodetabek,2024-05-08
tokoraya_cust_0049,tokoraya,Toko Elektronik Ceria 49,UMKM,Jabodetabek,2024-12-08
tokoraya_cust_0050,tokoraya,CV Indah Makmur 50,UMKM,Indonesia Timur,2024-07-23
tokoraya_cust_0051,tokoraya,Toko Fashion Lokal 51,Menengah,Indonesia Timur,2024-09-16
tokoraya_cust_0052,tokoraya,UD Elektronik Ceria 52,UMKM,Indonesia Timur,2024-04-18
tokoraya_cust_0053,tokoraya,Toko Anugerah Prima 53,UMKM,Jawa,2024-04-25
tokoraya_cust_0054,tokoraya,UD Berkah Mandiri 54,UMKM,Sumatera,2024-08-25
